
					II Sa-mu-ên 1				|
Vậy, Giô-áp cùng cả đạo binh trở về; người có đem tin cho người hay rằng: Ap-ne, con trai Nê-rơ, đã đến cùng vua, vua để cho người về, và người đi bình yên.|約 押 和 跟 隨 他 的 全 軍 到 了 、 就 有 人 告 訴 約 押 說 、 尼 珥 的 兒 子 押 尼 珥 來 見 王 、 王 送 他 去 、 他 也 平 平 安 安 的 去 了 。
Giô-áp bèn đến cùng vua mà hỏi rằng: Vua có làm điều chi? Kìa, Ap-ne đã đến nhà vua, cớ sau đã cho người đi về như vậy?|約 押 去 見 王 說 、 你 這 是 作 甚 麼 呢 、 押 尼 珥 來 見 你 、 你 為 何 送 他 去 、 他 就 蹤 影 不 見 了 呢 。
Vua biết Ap-ne, con trai của Nê-rơ, chớ; người đến chỉ để gạt vua, để rình các đường đi ra đi vào của vua, và đặng biết mọi điều vua làm.|你 當 曉 得 尼 珥 的 兒 子 押 尼 珥 來 、 是 要 誆 哄 你 、 要 知 道 你 的 出 入 、 和 你 一 切 所 行 的 事 。
Đoạn, Giô-áp lui khỏi Đa-vít, sai những sứ giả theo Ap-ne nối gót mà diệu người từ hồ chứa nước Si-ra về, mà không cho Đa-vít hay.|約 押 從 大 衛 那 裡 出 來 、 就 打 發 人 去 追 趕 押 尼 珥 、 在 西 拉 井 追 上 他 、 將 他 帶 回 來 ． 大 衛 卻 不 知 道 。
Khi Ap-ne trở về Hếp-rôn, Giô-áp đem người riêng ra trong cửa thành, dường muốn nói việc kín cùng người; ở đó bèn đâm người trong bụng và giết đi, đặng báo thù huyết cho A-sa-ên, em của Giô-áp.|押 尼 珥 回 到 希 伯 崙 、 約 押 領 他 到 城 門 的 甕 洞 、 假 作 要 與 他 說 機 密 話 、 就 在 那 裡 刺 透 他 的 肚 腹 、 他 便 死 了 ． 這 是 報 殺 他 兄 弟 亞 撒 黑 的 仇 。
Đa-vít liền hay, bèn nói rằng: Ta và nước ta vô tội đời đời trước mặt Đức Giê-hô-va về huyết của Ap-ne, con trai Nê-rơ.|大 衛 聽 見 了 、 就 說 、 流 尼 珥 的 兒 子 押 尼 珥 的 血 、 這 罪 在 耶 和 華 面 前 必 永 不 歸 我 、 和 我 的 國 。
Nguyện huyết ấy đổ lại trên đầu Giô-áp và trên cả nhà cha người! Nguyện nhà Giô-áp chẳng thiếu người bị bịnh bạch trược, bịnh phung, kẻ bại xuội, kẻ bị gươm ngã chết, kẻ thiếu bánh ăn!|願 流 他 血 的 罪 歸 到 約 押 頭 上 、 和 他 父 的 全 家 ． 又 願 約 押 家 不 斷 有 患 漏 症 的 、 長 大 痲 瘋 的 、 架 ? 而 行 的 、 被 刀 殺 死 的 、 缺 乏 飲 食 的 。
Giô-áp và A-bi-gia, em người, giết Ap-ne là như vậy; bởi vì Ap-ne đã giết A-sa-ên, em của hai người, sau khi chiến trận tại Ga-ba-ôn.|約 押 和 他 兄 弟 亞 比 篩 殺 了 押 尼 珥 、 是 因 押 尼 珥 在 基 遍 爭 戰 的 時 候 、 殺 了 他 們 的 兄 弟 亞 撒 黑 。
Đa-vít nói cùng Giô-áp và cả dân sự theo người rằng: Hãy xé áo các ngươi, thắt bao nơi lưng, và than khóc Ap-ne. Trước Đa-vít đi theo sau linh cữu.|大 衛 吩 咐 約 押 和 跟 隨 他 的 眾 人 、 說 、 你 們 當 撕 裂 衣 服 、 腰 束 麻 布 、 在 押 尼 珥 棺 前 哀 哭 ． 大 衛 王 也 跟 在 棺 後 。
Khi chúng đã chôn Ap-ne tại Hếp-rôn rồi, vua cất tiếng lên khóc tại mồ Ap-ne; cả dân sự cũng khóc.|他 們 將 押 尼 珥 葬 在 希 伯 崙 ． 王 在 押 尼 珥 的 墓 旁 放 聲 而 哭 ． 眾 民 也 都 哭 了 。
Vua làm một bài điếu Ap-ne rằng: Ap-ne há đáng chết như kẻ ngu dại chết sao?|王 為 押 尼 珥 舉 哀 、 說 、 押 尼 珥 何 竟 像 愚 頑 人 死 呢 。
Tay ngươi chẳng bị trói, chơn người cũng chẳng mang xiềng; Ngươi ngã chết khác nào người ta ngã trước mặt kẻ sát nhơn.|你 手 未 曾 捆 綁 、 腳 未 曾 鎖 住 ． 你 死 如 人 死 在 罪 孽 之 輩 手 下 一 樣 ． 於 是 眾 民 又 為 押 尼 珥 哀 哭 。
Nghe lời nầy, cả dân sự đều khóc. Đoạn, hết thảy đến gần xin người ăn ít miếng bánh trước khi hết ngày; nhưng Đa-vít thề rằng: Nếu trước khi mặt trời lặn, ta ăn một miếng bánh hay là vật chi khác, nguyện Đức Giê-hô-va phạt ta cách nặng nề.|日 頭 未 落 的 時 候 、 眾 民 來 勸 大 衛 喫 飯 、 但 大 衛 起 誓 、 說 、 我 若 在 日 頭 未 落 以 前 喫 飯 、 或 喫 別 物 、 願 　 神 重 重 的 降 罰 與 我 。
Dân sự đều để ý vào đó và lấy làm tốt lành, chẳng có điều gì vua làm mà chúng không lấy làm tốt lành.|眾 民 知 道 了 就 都 喜 悅 ． 凡 王 所 行 的 、 眾 民 無 不 喜 悅 。
Như vậy, trong ngày đó, dân Y-sơ-ra-ên nhìn biết rằng vua chẳng can gì đến tội giết Ap-ne, con trai của Nê-rơ.|那 日 以 色 列 眾 民 纔 知 道 殺 尼 珥 的 兒 子 押 尼 珥 、 並 非 出 於 王 意 。
Vua nói cùng các đầy tớ mình rằng: Một quan trưởng, một đại nhơn trong Y-sơ-ra-ên đã thác ngày nay; các ngươi há chẳng biết sao?|王 對 臣 僕 說 、 你 們 豈 不 知 今 日 以 色 列 人 中 、 死 了 一 個 作 元 帥 的 大 丈 夫 麼 。
Về phần ta, ngày nay hãy còn yếu, dẫu rằng ta đã chịu xức dầu lập làm vua; và những kẻ kia, là các con trai của Xê-ru-gia, là cường bạo cho ta quá. Nguyện Đức Giê-hô-va báo kẻ làm ác nầy, tùy sự ác của nó!|我 雖 然 受 膏 為 王 、 今 日 還 是 軟 弱 ． 這 洗 魯 雅 的 兩 個 兒 子 比 我 剛 強 ． 願 耶 和 華 照 著 惡 人 所 行 的 惡 報 應 他 。

					II Sa-mu-ên 4				|
						撒母耳記下 4					
Khi con trai của Sau-lơ hay rằng Ap-ne đã thác tại Hếp-rôn, thì sờn lòng rủn chí, và cả Y-sơ-ra-ên đều bối rối.|掃 羅 的 兒 子 伊 施 波 設 聽 見 押 尼 珥 死 在 希 伯 崙 、 手 就 發 軟 ． 以 色 列 眾 人 也 都 驚 惶 。
Vả, con trai Sau-lơ có hai đội trưởng, một người tên là Ba -a-na, một người tên là Rê-cáp: hai người là con trai của Rim-môn ở Bê-ê-rốt về chi phái Bên-gia-min,|掃 羅 的 兒 子 伊 施 波 設 有 兩 個 軍 長 、 一 名 巴 拿 、 一 名 利 甲 、 是 便 雅 憫 支 派 、 比 錄 人 臨 門 的 兒 子 ． 比 錄 也 屬 便 雅 憫 。
mặc dầu chúng đã chạy trốn nơi Ghi-tha-im, là nơi chúng ở cho đến ngày nay.|比 錄 人 早 先 逃 到 基 他 音 、 在 那 裡 寄 居 、 直 到 今 日 。
Giô-na-than, con trai của Sau-lơ, có một con trai bại chơn: khi tin Sau-lơ và Giô-na-than thác ở Gít-rê-ên thấu đến, thì nó đã được năm tuổi. Vú nó đem nó chạy trốn; trong cơn lật đật trốn, nó té, nên nỗi nó trở nên què. Tên nó là Mê-phi-bô-sết.|掃 羅 的 兒 子 約 拿 單 有 一 個 兒 子 名 叫 米 非 波 設 、 是 瘸 腿 的 ． 掃 羅 和 約 拿 單 死 亡 的 消 息 從 耶 斯 列 傳 到 的 時 候 、 他 纔 五 歲 ． 他 乳 母 抱 著 他 逃 跑 、 因 為 跑 得 太 急 、 孩 子 掉 在 地 上 、 腿 就 瘸 了 。
Hai con trai của Rim-môn ở Bê-ê-rốt, là Rê-cáp và Ba -a-na, trong lúc trời nắng ban ngày, đi đến nhà Ích-bô-sết, người đương nằm nghỉ trưa.|一 日 、 比 錄 人 臨 門 的 兩 個 兒 子 、 利 甲 和 巴 拿 出 去 、 約 在 午 熱 的 時 候 、 到 了 伊 施 波 設 的 家 、 伊 施 波 設 正 睡 午 覺 。
Hai người đi tuốt đến giữa nhà, giả đò lấy lúa mì, rồi đâm bụng Ích-bô-sết; đoạn Rê-cáp và Ba -a-na, anh người, trốn đi.|他 們 進 了 房 子 、 假 作 要 取 麥 子 、 就 刺 透 伊 施 波 設 的 肚 腹 、 逃 跑 了 。
Vậy, hai người đi vào nhà Ích-bô-sết, trong khi người nằm nghỉ trên giường tại phòng ngủ, đánh giết người; đoạn cắt lấy đầu người, rồi bắt đường đồng bằng mà đi trọn đêm.|他 們 進 房 子 的 時 候 、 伊 施 波 設 正 在 臥 房 裡 躺 在 床 上 、 他 們 將 他 殺 死 、 割 了 他 的 首 級 、 拿 著 首 級 在 亞 拉 巴 走 了 一 夜 ．
Hai người đem đầu Ích-bô-sết về Hếp-rôn, dâng cho vua Đa-vít, mà rằng: Nầy là đầu của Ích-bô-sết, con trai của Sau-lơ, kẻ thù nghịch vua, vẫn toan hại mạng sống vua; ngày nay Đức Giê-hô-va đã báo thù Sau-lơ và dòng dõi người cho vua, là chúa tôi.|將 伊 施 波 設 的 首 級 拿 到 希 伯 崙 見 大 衛 王 、 說 、 王 的 仇 敵 掃 羅 、 曾 尋 索 王 的 性 命 、 看 哪 、 這 是 他 兒 子 伊 施 波 設 的 首 級 、 耶 和 華 今 日 為 我 主 我 王 、 在 掃 羅 和 他 後 裔 的 身 上 報 了 仇 。
Nhưng Đa-vít đáp cùng Rê-cáp và Ba -a-na con trai của Rim-môn ở Bê-ê-rốt, mà rằng: Ta chỉ Đức Giê-hô-va hằng sống, là Đấng đã cứu ta khỏi các hoạn nạn, mà thề rằng:|大 衛 對 比 錄 人 臨 門 的 兒 子 利 甲 和 他 兄 弟 巴 拿 說 、 我 指 著 救 我 性 命 脫 離 一 切 苦 難 、 永 生 的 耶 和 華 起 誓 、
Ta đã sai bắt kẻ đã đến thuật cho ta hay rằng Sau-lơ đã thác, và tư tưởng rằng mình là một sứ giả đem tin lành; ta đã giết kẻ đó tại Xiếc-lác đặng trả công cho một sự báo tin dường ấy.|從 前 有 人 報 告 我 說 、 掃 羅 死 了 、 他 自 以 為 報 好 消 息 ． 我 就 拿 住 他 、 將 他 殺 在 洗 革 拉 、 這 就 作 了 他 報 消 息 的 賞 賜 ．
Phương chi những kẻ hung ác đã giết một người lành nằm trên giường tại trong nhà mình! Vậy, ta há chẳng nên đòi huyết người lại nơi tay các ngươi, và diệt các ngươi khỏi đất sao?|何 況 惡 人 將 義 人 殺 在 他 的 床 上 、 我 豈 不 向 你 們 討 流 他 血 的 罪 、 從 世 上 除 滅 你 們 呢 。
Đa-vít bèn truyền lịnh các đầy tớ mình giết hai người đó. Chúng chặt tay và chơn họ, rồi treo thây gần bên ao Hếp-rôn. Đoạn, chúng lấy đầu của Ích-bô-sết, chôn trong mồ Ap-ne, tại Hếp-rôn.|於 是 大 衛 吩 咐 少 年 人 將 他 們 殺 了 、 砍 斷 他 們 的 手 腳 、 挂 在 希 伯 崙 的 池 旁 ． 卻 將 伊 施 波 設 的 首 級 、 葬 在 希 伯 崙 押 尼 珥 的 墳 墓 裡 。

					II Sa-mu-ên 5				|
						撒母耳記下 5					
Bấy giờ, hết thảy các chi phái Y-sơ-ra-ên đến cùng Đa-vít tại Hếp-rôn, mà nói rằng: Chúng tôi đây vốn là cốt nhục của vua.|以 色 列 眾 支 派 來 到 希 伯 崙 見 大 衛 、 說 、 我 們 原 是 你 的 骨 肉 。
Đã từ xưa, khi Sau-lơ còn cai trị chúng tôi, chính vua đã dắt Y-sơ-ra-ên ra trận và đem họ về. Đức Giê-hô-va có phán cùng vua rằng: Ngươi sẽ chăn dân sự ta, và làm vua của Y-sơ-ra-ên.|從 前 掃 羅 作 我 們 王 的 時 候 、 率 領 以 色 列 人 出 入 的 是 你 ． 耶 和 華 也 曾 應 許 你 說 、 你 必 牧 養 我 的 民 以 色 列 、 作 以 色 列 的 君 。
Vậy, hết thảy các trưởng lão Y-sơ-ra-ên đến cùng vua tại Hếp-rôn, vua Đa-vít lập giao ước với họ tại Hếp-rôn, trước mặt Đức Giê-hô-va, và chúng xức dầu cho Đa-vít làm vua của Y-sơ-ra-ên.|於 是 以 色 列 的 長 老 都 來 到 希 伯 崙 見 大 衛 王 、 大 衛 在 希 伯 崙 耶 和 華 面 前 與 他 們 立 約 、 他 們 就 膏 大 衛 作 以 色 列 的 王 。
Khi Đa-vít khởi trị vì, tuổi đã được ba mươi; người cai trị bốn mươi năm.|大 衛 登 基 的 時 候 年 三 十 歲 、 在 位 四 十 年 。
Tại Hếp-rôn, Đa-vít trị vì trên Giu-đa bảy năm sáu tháng; rồi tại Giê-ru-sa-lem, người trị vì trên cả dân Y-sơ-ra-ên và Giu-đa ba mươi ba năm.|在 希 伯 崙 作 猶 大 王 七 年 零 六 個 月 ． 在 耶 路 撒 冷 作 以 色 列 和 猶 大 王 三 十 三 年 。
Vua và các thủ hạ kéo đến Giê-ru-sa-lem, đánh dân Giê-bu-sít, vốn ở tại xứ nầy. Chúng nó nói cùng Đa-vít rằng: Ngươi chớ vào đây: những kẻ đui và què, đủ mà xô đuổi người đi! người là muốn nói: Đa-vít sẽ không vào đây được.|大 衛 和 跟 隨 他 的 人 到 了 耶 路 撒 冷 、 要 攻 打 住 那 地 方 的 耶 布 斯 人 ． 耶 布 斯 人 對 大 衛 說 、 你 若 不 趕 出 瞎 子 、 瘸 子 、 必 不 能 進 這 地 方 ． 心 裡 想 大 衛 決 不 能 進 去 。
Nhưng Đa-vít hãm lấy đồn Si-ôn: ấy là thành Đa-vít.|然 而 大 衛 攻 取 錫 安 的 保 障 、 就 是 大 衛 的 城 。
Trong ngày đó, Đa-vít nói rằng: Phàm người nào đánh dân Giê-bu-sít, nhào xuống khe kẻ què và kẻ đui chúng nó, tức những kẻ cừu địch của Đa-vít, . Bởi cớ đó có tục ngữ rằng: Kẻ đui và kẻ què đều sẽ chẳng vào nhà nầy.|當 日 、 大 衛 說 、 誰 攻 打 耶 布 斯 人 、 當 上 水 溝 攻 打 我 心 裡 所 恨 惡 的 瘸 子 、 瞎 子 ． 從 此 有 俗 語 說 、 在 那 裡 有 瞎 子 、 瘸 子 、 他 不 能 進 屋 去 。
Đa-vít ở trong đồn, đặt tên là thành Đa-vít; người xây vách tứ vi từ Mi-lô trở về trong.|大 衛 住 在 保 障 裡 、 給 保 障 起 名 叫 大 衛 城 ． 大 衛 又 從 米 羅 以 裡 、 周 圍 築 牆 。
Đa-vít càng ngày càng cường thạnh, và Giê-hô-va là Đức Chúa Trời vạn quân ở cùng người.|大 衛 日 見 強 盛 、 因 為 耶 和 華 萬 軍 之 　 神 與 他 同 在 。
Hi-ram, vua thành Ty-rơ, sai sứ đến Đa-vít, đem theo gỗ bá hương, thợ mộc, thợ đá đặng xây cất một cái đền cho Đa-vít.|推 羅 王 希 蘭 將 香 柏 木 運 到 大 衛 那 裡 ． 又 差 遣 使 者 、 和 木 匠 石 匠 、 給 大 衛 建 造 宮 殿 。
Bấy giờ, Đa-vít nhìn biết rằng Đức Giê-hô-va đã lập mình làm vua trên Y-sơ-ra-ên, và khiến nước mình được thạnh vượng vì cớ dân Y-sơ-ra-ên của Ngài.|大 衛 就 知 道 耶 和 華 堅 立 他 作 以 色 列 王 、 又 為 自 己 的 民 以 色 列 使 他 的 國 興 旺 。
Sau khi Đa-vít từ Hếp-rôn đến, thì còn cưới thêm những hầu và vợ ở Giê-ru-sa-lem; lại sanh thêm cho người những con trai con gái khác.|大 衛 離 開 希 伯 崙 之 後 、 在 耶 路 撒 冷 又 立 后 妃 、 又 生 兒 女 。
Nầy là tên các con trai sanh cho người tại thành Giê-ru-sa-lem: Sa-mua, Sô-báp, Na-than, Sa-lô-môn,|在 耶 路 撒 冷 所 生 的 兒 子 、 是 沙 母 亞 、 朔 罷 、 拿 單 、 所 羅 門 、
Di-ba, Ê-li-sua, Nê-phéc, Gia-phia,|益 轄 、 以 利 書 亞 、 尼 斐 、 雅 非 亞 、
Ê-li-sa-ma, Ê-li-gia-đa, và Ê-li-phê-lết.|以 利 沙 瑪 、 以 利 雅 大 、 以 利 法 列 。
Khi dân Phi-li-tin biết Đa-vít đã chịu xức dầu làm vua Y-sơ-ra-ên rồi, thì kéo ra đặng đánh người. Đa-vít hay điều đó, bèn đi đến đồn.|非 利 士 人 聽 見 人 膏 大 衛 作 以 色 列 王 、 非 利 士 眾 人 就 上 來 尋 索 大 衛 ． 大 衛 聽 見 、 就 下 到 保 障 。
Dân Phi-li-tin đi đến bủa ra trong trũng Rê-pha-im.|非 利 士 人 來 了 、 布 散 在 利 乏 音 谷 。
Bấy giờ, Đa-vít cầu vấn Đức Giê-hô-va, mà rằng: Tôi phải lên đánh dân Phi-li-tin chăng? Đức Giê-hô-va đáp cùng Đa-vít rằng: Hãy đi lên, vì hẳn ta sẽ phó dân Phi-li-tin vào tay ngươi.|大 衛 求 問 耶 和 華 說 、 我 可 以 上 去 攻 打 非 利 士 人 麼 ． 你 將 他 們 交 在 我 手 裡 麼 ． 耶 和 華 說 、 你 可 以 上 去 、 我 必 將 非 利 士 人 交 在 你 手 裡 。
Vậy, Đa-vít kéo đến Ba-anh-Phê-rát-sim, là nơi người đánh dân đó; và người nói rằng: Đức Giê-hô-va đã đánh vỡ các kẻ thù nghịch tôi khỏi trước mặt tôi khác nào nước chảy. Bởi cớ đó, người đặt tên chỗ nầy là Ba-anh-Phê-rát-sim.|大 衛 來 到 巴 力 毘 拉 心 、 在 那 裡 擊 殺 非 利 士 人 、 說 、 耶 和 華 在 我 面 前 沖 破 敵 人 、 如 同 水 沖 去 一 般 ． 因 此 稱 那 地 方 為 巴 力 毘 拉 心 。
Dân Phi-li-tin bỏ lại các thần tượng của chúng nó tại đó; Đa-vít và thủ hạ người lấy đem đi.|非 利 士 人 將 偶 像 撇 在 那 裡 、 大 衛 和 跟 隨 他 的 人 拿 去 了 。
Dân Phi-li-tin trở lại lần thứ nhì, và bủa ra trong trũng Rê-pha-im.|非 利 士 人 又 上 來 、 布 散 在 利 乏 音 谷 。
Đa-vít cầu vấn Đức Giê-hô-va, Ngài đáp rằng: Ngươi chớ đi lên; hãy đi vòng phía sau chúng nó, rồi ngươi sẽ tới chúng nó về hướng cây dâu.|大 衛 求 問 耶 和 華 、 耶 和 華 說 、 不 要 一 直 的 上 去 、 要 轉 到 他 們 後 頭 、 從 桑 林 對 面 攻 打 他 們 ．
Và khi nào ngươi nghe tiếng bước trên ngọn cây dâu, bấy giờ hãy lật đật xông tới, vì chính trong lúc đó, Đức Giê-hô-va sẽ đi trước ngươi đặng hãm đánh đạo quân Phi-li-tin.|你 聽 見 桑 樹 梢 上 有 腳 步 的 聲 音 、 就 要 急 速 前 去 、 因 為 那 時 耶 和 華 已 經 在 你 前 頭 去 攻 打 非 利 士 人 的 軍 隊 。
Đa-vít làm mọi điều Đức Giê-hô-va đã phán đặn người; người đánh đuổi dân Phi-li-tin từ Ghê-ba cho đến Ghê-xe.|大 衛 就 遵 著 耶 和 華 所 吩 咐 的 去 行 、 攻 打 非 利 士 人 、 從 迦 巴 直 到 基 色 。

					II Sa-mu-ên 6				|
						撒母耳記下 6					
Đa-vít lại nhóm hiệp hết thảy những người kén chọn của Y-sơ-ra-ên, số chừng ba vạn người.|大 衛 又 聚 集 以 色 列 中 所 有 挑 選 的 人 三 萬 。
Đoạn, người chỗi dậy, có và dân sự đồng theo, đi từ Ba-lê ở xứ Giu-đa đặng thỉnh hòm của Đức Chúa Trời lên; trước hòm ấy dân cầu khẩn danh Chúa, tức là chánh danh Đức Giê-hô-va vạn quân, vẫn ngự ở giữa chê-ru-bin tại trên hòm ấy.|大 衛 起 身 率 領 跟 隨 他 的 眾 人 前 往 、 要 從 巴 拉 猶 大 將 　 神 的 約 櫃 運 來 ． 這 約 櫃 、 就 是 坐 在 二 ? ? ? 上 萬 軍 之 耶 和 華 留 名 的 約 櫃 。
