
					Nê-hê-mi-a 1				|
về họ A-bi-gia, Xiếc-ri; về họ Min-gia-min và Mô-đa-đia, Phinh-tai;|亞 比 雅 族 、 有 細 基 利 ． 米 拿 民 族 、 某 ． 摩 亞 底 族 、 有 毘 勒 太 ．
về họ Binh-ga, Sa-mua; về họ Sê-ma-gia, Giô-na-than;|璧 迦 族 、 有 沙 母 亞 ． 示 瑪 雅 族 、 有 約 拿 單 ．
về họ Giô-gia-ríp, Mát-tê-nai; về họ Giê-đa-gia, U-xi;|約 雅 立 族 、 有 瑪 特 乃 ． 耶 大 雅 族 、 有 烏 西 ．
về họ Sa-lai, Ca-lai; về họ A-móc, Ê-be;|撒 來 族 、 有 加 萊 ． 亞 木 族 、 有 希 伯 ．
về họ Hinh-kia Ha-sa-bia; về họ Giê-đa-gia, Nê-tha-nê-ên.|希 勒 家 族 、 有 哈 沙 比 雅 ． 耶 大 雅 族 、 有 拿 坦 業 。
Về người Lê-vi, các trưởng tộc của họ đã biên tên vào sổ trong đời của Ê-li -a-síp, Giô-gia-đa, Giô-ha-nan, và Gia-đua; còn những thầy tế lễ, thì biên tên vào sổ trong đời Đa-ri-út, nước Phe-rơ-sơ.|至 於 利 未 人 、 當 以 利 亞 實 、 耶 何 耶 大 、 約 哈 難 、 押 杜 亞 的 時 候 、 他 們 的 族 長 記 在 冊 上 、 波 斯 王 大 利 烏 在 位 的 時 候 、 作 族 長 的 祭 司 、 也 記 在 冊 上 。
Các trưởng tộc của người Lê-vi có ghi tên vào sách sử ký cho đến đời Giô-ha-nan, con trai của Ê-li -a-síp.|利 未 人 作 族 長 的 、 記 在 歷 史 上 、 直 到 以 利 亞 實 的 兒 子 約 哈 難 的 時 候 。
Các trưởng tộc của người Lê-vi: Ha-sa-bia, Sê-rê-bia, và Giê-sua, con trai của Cát-mi-ên, và các anh em người ứng đối nhau, từng ban từng thứ, đặng ngợi khen và cảm tạ, tùy theo lịnh của Đa-vít, người của Đức Chúa Trời.|利 未 人 的 族 長 是 哈 沙 比 雅 、 示 利 比 、 甲 篾 的 兒 子 耶 書 亞 、 與 他 們 弟 兄 的 班 次 相 對 、 照 著 神 人 大 衛 的 命 令 、 一 班 一 班 地 讚 美 稱 謝 。
Mát-ta-nia, Bác-bu-kia, Ô-ba-đia, Mê-su-lam, Tanh-môn và A-cúp, là kẻ canh giữ cửa, giữ các kho bên cửa thành.|瑪 他 尼 、 八 布 迦 、 俄 巴 底 亞 、 米 書 蘭 、 達 們 、 亞 谷 、 是 守 門 的 、 就 是 在 庫 房 那 裡 守 門 。
Các người này ở về đời Giô-gia-kim, con trai của Giê-sua, cháu Giô-xa-đác, về đời Nê-hê-mi, quan tổng trấn, và về đời E-xơ-ra, làm thầy tế lễ và văn sĩ.|這 都 是 在 約 撒 達 的 孫 子 耶 書 亞 的 兒 子 約 雅 金 、 和 省 長 尼 希 米 、 並 祭 司 文 士 以 斯 拉 的 時 候 、 有 職 任 的 。
Khi khánh thành các vách thành Giê-ru-sa-lem, thì người ta sai gọi các người Lê-vi ở khắp mọi nơi, đặng đem chùng về Giê-ru-sa-lem, để dự lễ khánh thành cách vui vẻ, có tiếng khen ngợi và ca hát theo chập chỏa, đờn cầm, và đờn sắt.|耶 路 撒 冷 城 牆 告 成 的 時 候 、 眾 民 就 把 各 處 的 利 未 人 招 到 耶 路 撒 冷 、 要 稱 謝 、 歌 唱 、 敲 鈸 、 鼓 瑟 、 彈 琴 、 歡 歡 喜 喜 行 告 成 之 禮 。
Các người ca hát đều hiệp lại, từ đồng bằng xung quanh Giê-ru-sa-lem, các làng người Nê-tô-pha-tít;|歌 唱 的 人 、 從 耶 路 撒 冷 的 周 圍 、 和 尼 陀 法 的 村 莊 、 與 伯 吉 甲 、 又 從 迦 巴 和 押 瑪 弗 的 田 地 聚 集 ． 因 為 歌 唱 的 人 、 在 耶 路 撒 冷 四 圍 、 為 自 己 立 了 村 莊 。
lại từ Bết-ghinh-ganh, từ đồng bằng Ghê-ba và Ach-ma-vết; vì những người ca hát đã xây cho mình các làng ở chung quanh thành Giê-ru-sa-lem.|見 上 節
Những thầy tế lễ và người Lê-vi dọn mình cho thánh sạch, cũng dọn cho thánh sạch dân sự, các cửa và vách thành.|祭 司 和 利 未 人 就 潔 淨 自 己 、 也 潔 淨 百 姓 、 和 城 門 、 並 城 牆 。
Bấy giờ, tôi biểu các quan trưởng Giu-đa lên trên vách thành, rồi phân làm hai tốp lớn kéo nhau đi để cảm tạ; một tốp đi về phía hữu trên vách thành, tới cửa Phân.|我 帶 猶 大 的 首 領 上 城 、 使 稱 謝 的 人 分 為 兩 大 隊 、 排 列 而 行 ． 第 一 隊 在 城 上 往 右 邊 向 糞 廠 門 行 走 ．
Sau chúng có Hô-sa-gia, và phân nửa số các quan trưởng Giu-đa,|在 他 們 後 頭 的 有 何 沙 雅 、 與 猶 大 首 領 的 一 半 ．
cùng A-xa-ria, E-xơ-ra, Mê-su-lam, Giu-đa, Bên-gia-min,|又 有 亞 撒 利 雅 、 以 斯 拉 、 米 書 蘭 、
Sê-ma-gia, Giê-rê-mi,|猶 大 、 便 雅 憫 、 示 瑪 雅 、 耶 利 米 ．
và mấy con trai của những thầy tế lễ cầm kèn: Xa-cha-ri, con trai của Giô-na-than, cháu của Sê-ma-gia, cháu của Mát-ta-nia, chít của Mi-chê; Mi-chê là con trai của Xác-cua, cháu của A-sáp,|還 有 些 吹 號 之 祭 司 的 子 孫 、 約 拿 單 的 兒 子 撒 迦 利 亞 、 約 拿 單 是 示 瑪 雅 的 兒 子 、 示 瑪 雅 是 瑪 他 尼 的 兒 子 、 瑪 他 尼 是 米 該 亞 的 兒 子 、 米 該 亞 是 撒 刻 的 兒 子 、 撒 刻 是 亞 薩 的 兒 子 ．
cùng các anh em người, là Sê-ma-gia, A-xa-rên, Mi-ta-lai, Ghi-la-lai, Ma-ai, Nê-tha-nê-ên, Giu-đa, và Ha-na-ni, cầm những nhạc khí của Đa-vít, người của Đức Chúa Trời; và E-xơ-ra, người văn sĩ, đi ở đằng trước chúng.|又 有 撒 迦 利 亞 的 弟 兄 示 瑪 雅 、 亞 撒 利 、 米 拉 萊 、 基 拉 萊 、 瑪 艾 、 拿 坦 業 、 猶 大 、 哈 拿 尼 、 都 拿 著 神 人 大 衛 的 樂 器 ． 文 士 以 斯 拉 引 領 他 們 。
Từ cửa Suối, ở ngay mặt, chúng đi thẳng lên các nấc thành Đa-vít, tại nơi đốc vách thành ở trên đền Đa-vít, và đến cửa Nước về phía đông.|他 們 經 過 泉 門 往 前 、 從 大 衛 城 的 台 階 、 隨 地 勢 而 上 、 在 大 衛 宮 殿 以 上 、 直 行 到 朝 東 的 水 門 。
Còn tốp cảm tạ thứ nhì đi trên vách thành đối ngang lại với tốp thứ nhất, còn tôi đi ở sau họ với phân nửa dân sự, từ tháp các Lò cho đến vách rộng,|第 二 隊 稱 謝 的 人 要 與 那 一 隊 相 迎 而 行 、 我 和 民 的 一 半 跟 隨 他 們 、 在 城 牆 上 過 了 爐 樓 、 直 到 寬 牆 、
đi qua trên cửa Ep-ra-im, gần bên cửa Cũ, cửa Cá, tháp Ha-na-nê-ên, và tháp Mê -a, đến cửa Chiên. Chúng dừng lại tại cửa Ngục.|又 過 了 以 法 蓮 門 、 古 門 、 魚 門 、 哈 楠 業 樓 、 哈 米 亞 樓 、 直 到 羊 門 、 就 在 護 衛 門 站 住 。
Đoạn, hai tốp cảm tạ dừng lại trong đền Đức Chúa Trời, tôi và phân nửa quan trưởng theo tôi cũng làm vậy,|於 是 這 兩 隊 稱 謝 的 人 、 連 我 和 官 長 的 一 半 、 站 在 　 神 的 殿 裡 ．
và những thầy tế lễ cầm kèn, là Ê-lê -a-kim, Ma -a-sê-nai, Min-gia-min, Mi-chê, Ê-li-ô-ê-nai, Xa-cha-ri, và Ha-na-nia;|還 有 祭 司 以 利 亞 金 、 瑪 西 雅 、 米 拿 民 、 米 該 雅 、 以 利 約 乃 、 撒 迦 利 亞 、 哈 楠 尼 亞 、 吹 號 ．
lại có Ma -a-sê-gia, Sê-ma-gia, Ê-lê -a-xa, U-xi, Giô-ha-nan, Manh-ki-gia, Ê-lam, và Ê-xe. Những kẻ ca hát tiếng lớn, có Dít-ra-bia dẫn dắt.|又 有 瑪 西 雅 、 示 瑪 雅 、 以 利 亞 撒 、 烏 西 、 約 哈 難 、 瑪 基 雅 、 以 攔 、 和 以 謝 奏 樂 。 歌 唱 的 就 大 聲 歌 唱 、 伊 斯 拉 希 雅 管 理 他 們 。
Trong ngày đó, chúng dâng những của lễ trọng thể và vui vẻ; vì Đức Chúa Trời đã khiến cho chúng vui mừng khắp khởi; các người đờn bà và con trẻ cũng vui mừng nữa; sự vui mừng của thành Giê-ru-sa-lem vang ra rất xa.|那 日 眾 人 獻 大 祭 而 歡 樂 ． 因 為 　 神 使 他 們 大 大 歡 樂 ． 連 婦 女 帶 孩 童 也 都 歡 樂 ． 甚 至 耶 路 撒 冷 中 的 歡 聲 聽 到 遠 處 。
Trong ngày đó, người ta lập kẻ coi sóc các phóng kho tàng về của lễ dâng giơ lên, về của đầu mùa, về thuế một phần mười, đặng thâu vào nó, tùy theo đồng của các thành, phần của những thầy tế lễ và người Lê-vi, mà luật pháp đã chỉ định; vì Giu-đa vui mừng nhơn những thầy tế lễ và người Lê-vi đứng hầu việc.|當 日 派 人 管 理 庫 房 、 將 舉 祭 、 初 熟 之 物 、 和 所 取 的 十 分 之 一 、 就 是 按 各 城 田 地 、 照 律 法 所 定 歸 給 祭 司 和 利 未 人 的 分 、 都 收 在 裡 頭 ． 猶 大 人 、 因 祭 司 和 利 未 人 供 職 、 就 歡 樂 了 。
Chúng luôn với những kẻ ca hát và kẻ giữ cửa đều giữ trách nhiệm của Đức Chúa Trời, và việc dọn mình thánh sạch, tùy theo mạng lịnh của Đa-vít và Sa-lô-môn, con trai người.|祭 司 利 未 人 遵 守 　 神 所 吩 咐 的 、 並 守 潔 淨 的 禮 ． 歌 唱 的 、 守 門 的 、 照 著 大 衛 和 他 兒 子 所 羅 門 的 命 令 、 也 如 此 行 。
Vì ngày xưa, về đời Đa-vít và A-sáp, có những quan trưởng coi sóc những kẻ ca hát, và có bài hát khen ngợi cảm tạ Đức Chúa Trời.|古 時 、 在 大 衛 和 亞 薩 的 日 子 、 有 歌 唱 的 伶 長 、 並 有 讚 美 稱 謝 　 神 的 詩 歌 。
Trong đời Xô-rô-ba-bên và Nê-hê-mi, cả Y-sơ-ra-ên đều cấp phần cho kẻ ca hát và người canh giữ cửa, ngày nào cần dùng theo ngày nấy; cũng để riêng phần của người Lê-vi, và người Lê-vi để riêng phần của con cháu A-rôn.|當 所 羅 巴 伯 和 尼 希 米 的 時 候 、 以 色 列 眾 人 將 歌 唱 的 、 守 門 的 、 每 日 所 當 得 的 分 供 給 他 們 ． 又 給 利 未 人 當 得 的 分 ． 利 未 人 又 給 亞 倫 的 子 孫 當 得 的 分 。

					Nê-hê-mi-a 13				|
						尼希米記 13					
Trong ngày đó, người ta đọc sách Môi-se có dân sự nghe; trong đó có chép rằng người Am-môn và người Mô-áp đời đời không được vào hội của Đức Chúa Trời,|當 日 人 念 摩 西 的 律 法 書 給 百 姓 聽 ． 遇 見 書 上 寫 著 說 、 亞 捫 人 和 摩 押 人 永 不 可 入 　 神 的 會 ．
bởi vì chúng nó không đem bánh và nước đến đón dân Y-sơ-ra-ên, song dùng bạc thỉnh Ba-la-am đến rủa sả dân Y-sơ-ra-ên .|因 為 他 們 沒 有 拿 食 物 和 水 來 、 迎 接 以 色 列 人 、 且 雇 了 巴 蘭 咒 詛 他 們 ． 但 我 們 的 　 神 使 那 咒 詛 變 為 祝 福 。
Xảy khi chúng đã nghe luật pháp rồi, bèn phân rẽ khỏi Y-sơ-ra-ên các dân ngoại bang.|以 色 列 民 聽 見 這 律 法 、 就 與 一 切 閑 雜 人 絕 交 。
Vả, trước việc đó, thầy tế lễ Ê-li -a-síp, mà đã được lập coi sóc các phòng của đền Đức Chúa Trời chúng tôi,|先 是 蒙 派 管 理 我 們 　 神 殿 中 庫 房 的 祭 司 以 利 亞 實 、 與 多 比 雅 結 親 、
và là bà con với Tô-bi-gia, có sắm sửa cho người ấy một cái phòng lớn, là nơi trước người ta dùng để những của lễ chay, hương liệu, khí dụng, thuế một phần mười về lúa mì, rượu mới, và dầu, tức những vật theo lệ đã định cho người Lê-vi, kẻ ca hát, và người canh giữ cửa, luôn với của lễ dâng giơ lên của thầy tế lễ.|便 為 他 豫 備 一 間 大 屋 子 、 就 是 從 前 收 存 素 祭 、 乳 香 、 器 皿 、 和 照 命 令 供 給 利 未 人 、 歌 唱 的 、 守 門 的 、 五 榖 、 新 酒 、 和 油 的 十 分 之 一 、 並 歸 祭 司 舉 祭 的 屋 子 。
Khi các điều đó xảy đến thì không có tôi ở tại Giê-ru-sa-lem; vì nhằm năm thứ ba mươi hai đời At-ta-xét-xe, vua Ba-by-lôn, tôi mắc phải trở về cùng vua; cuối một ít lâu, tôi có xin phép vua đặng đi.|那 時 我 不 在 耶 路 撒 冷 ． 因 為 巴 比 倫 王 亞 達 薛 西 三 十 二 年 、 我 回 到 王 那 裡 ． 過 了 多 日 我 向 王 告 假 。
Tôi đến Giê-ru-sa-lem, bèn hiểu điều ác mà Ê-li -a-síp vì Tô-bi-gia đã làm ra, vì có sắm sửa cho người một cái phòng trong hành lang của đền Đức Chúa Trời.|我 來 到 耶 路 撒 冷 、 就 知 道 以 利 亞 實 為 多 比 雅 在 　 神 殿 的 院 內 、 豫 備 屋 子 的 那 件 惡 事 。
Tôi thấy điều đó lấy làm cực tệ, nên quăng ra khỏi phòng ấy các vật dụng của nhà Tô-bi-gia.|我 甚 惱 怒 、 就 把 多 比 雅 的 一 切 家 具 、 從 屋 裡 都 拋 出 去 、
Đoạn, tôi biểu người ta dọn cái phòng ấy cho sạch sẽ; kẻ ấy tôi đem vào lại các khí dụng của đền Đức Chúa Trời, của lễ chay và hương liệu.|吩 咐 人 潔 淨 這 屋 子 、 遂 將 　 神 殿 的 器 皿 、 和 素 祭 乳 香 又 搬 進 去 。
Tôi cũng hay rằng người ta không có cấp các phần của người Lê-vi cho họ; vì vậy, những kẻ ca hát và người Lê-vi hầu việc, ai nấy đều đã trốn về đồng ruộng mình.|我 見 利 未 人 所 當 得 的 分 、 無 人 供 給 他 們 、 甚 至 供 職 的 利 未 人 、 與 歌 唱 的 、 俱 各 奔 回 自 己 的 田 地 去 了 。
Tôi bèn quở trách các quan trưởng, mà rằng: Cớ sao đền của Đức Chúa Trời bị bỏ như vậy? Đoạn, tôi hiệp lại chúng mà đặt họ trong chức cũ mình.|我 就 斥 責 官 長 說 、 為 何 離 棄 　 神 的 殿 呢 ． 我 便 招 聚 利 未 人 、 使 他 們 照 舊 供 職 。
Bấy giờ, cả Giu-đa đều đem đến trong kho thuế một phần mười về lúa mì, rượu mới, và dầu.|猶 大 眾 人 就 把 五 榖 、 新 酒 、 和 油 的 十 分 之 一 、 送 入 庫 房 。
Tôi đặt Sê-lê-mia, thầy tế lễ Xa-đốc, ký lục, và Phê-đa-gia trong các người Lê-vi, coi các kho tàng; còn Ha-nan, con trai của Xác-cua, cháu Mát-ta-nia, làm phó; các người ấy được kể là trung thành, và bổn phận chúng là phân phát vật cho anh em mình.|我 派 祭 司 示 利 米 雅 、 文 士 撒 督 、 和 利 未 人 毘 大 雅 作 庫 官 管 理 庫 房 ． 副 官 、 是 哈 難 、 哈 難 是 撒 刻 的 兒 子 、 撒 刻 是 瑪 他 尼 的 兒 子 ． 這 些 人 都 是 忠 信 的 、 他 們 的 職 分 是 將 所 供 給 的 分 給 他 們 的 弟 兄 。
Đức Chúa Trời tôi ôi! vì cớ điều này, xin nhớ đến tôi, và chớ bôi xóa các việc tốt lành mà tôi đã làm vì đền của Đức Chúa Trời tôi và về điều phải gìn giữ tại đó.|我 的 　 神 阿 、 求 你 因 這 事 記 念 我 、 不 要 塗 抹 我 為 　 神 的 殿 、 與 其 中 的 禮 節 、 所 行 的 善 。
Về lúc đó, tôi thấy trong Giu-đa, mấy người ép nho nơi máy ép rượu nhằm ngày sa-bát, đem bó lúa mình vào, chở nó trên lừa, và cũng chở rượu, trái nho, trái vả, và các vật nặng, mà đem về Giê-ru-sa-lem trong ngày sa-bát. Ngày chúng nó bán vật thực ấy, tôi có làm chứng nghịch cùng chúng nó.|那 些 日 子 我 在 猶 大 見 有 人 在 安 息 日 醡 酒 、 〔 原 文 作 踹 酒 醡 〕 搬 運 禾 捆 、 馱 在 驢 上 ． 又 把 酒 、 葡 萄 、 無 花 果 、 和 各 樣 的 擔 子 、 在 安 息 日 擔 入 耶 路 撒 冷 、 我 就 在 他 們 賣 食 物 的 那 日 、 警 戒 他 們 。
Cũng có người Ty-rơ ở tại đó, đem cá và các thứ hàng hóa đến bán cho người Giu-đa và tại thành Giê-ru-sa-lem trong ngày sa-bát.|又 有 推 羅 人 住 在 耶 路 撒 冷 ． 他 們 把 魚 、 和 各 樣 貨 物 、 運 進 來 、 安 息 日 賣 給 猶 大 人 。
Bấy giờ tôi quở trách các người tước vị Giu-đa, mà rằng: Việc xấu xa các ngươi làm đây là chi, mà làm cho ô uế ngày sa-bát?|我 就 斥 責 猶 大 的 貴 冑 、 說 、 你 們 怎 麼 行 這 惡 事 、 犯 了 安 息 日 呢 。
Tổ phụ các ngươi há chẳng đã làm như vậy sao? Nên nỗi Đức Chúa Trời há chẳng có dẫn tai họa kia đến trên chúng ta và trên thành này ư? Còn các ngươi làm ô uế ngày sa-bát mà tăng thêm cơn thạnh nộ cho Y-sơ-ra-ên!|從 前 你 們 列 祖 、 豈 不 是 這 樣 行 、 以 致 我 們 　 神 使 一 切 災 禍 臨 到 我 們 和 這 城 麼 。 現 在 你 們 還 犯 安 息 日 、 使 忿 怒 越 發 臨 到 以 色 列 。
Ay vậy, khi các cửa Giê-ru-sa-lem khởi khuất trong bóng tối trước ngày sa-bát, tôi bèn truyền người ta đóng cửa lại và dặn biểu chúng nó chỉ mở nó ra sau ngày sa-bát; lại cắt đặt mấy kẻ trong đầy tớ tôi giữ cửa để không ai gánh chở đồ vào thành trong ngày sa-bát.|在 安 息 日 的 前 一 日 、 耶 路 撒 冷 城 門 有 黑 影 的 時 候 、 我 就 吩 咐 人 將 門 關 鎖 、 不 過 安 息 日 不 准 開 放 ． 我 又 派 我 幾 個 僕 人 管 理 城 門 、 免 得 有 人 在 安 息 日 擔 甚 麼 擔 子 進 城 。
Vậy, kẻ buôn người bán các thứ hàng hóa một hai lần ban đêm phải ngủ ở ngoài thành Giê-ru-sa-lem.|於 是 商 人 、 和 販 賣 各 樣 貨 物 的 、 一 兩 次 住 宿 在 耶 路 撒 冷 城 外 。
Đoạn, tôi quở trách chúng nó mà rằng: Cớ sao các ngươi ban đêm ngủ tại trước vách thành như vậy? Nếu các ngươi còn làm nữa, tất cả sẽ tra tay trên các ngươi. Từ lúc đó về sau, chúng nó không có đến nhằm ngày sa-bát nữa.|我 就 警 戒 他 們 說 、 你 們 為 何 在 城 外 住 宿 呢 ． 若 再 這 樣 、 我 必 下 手 拿 辦 你 們 。 從 此 以 後 、 他 們 在 安 息 日 不 再 來 了 。
Tôi dạy biểu người Lê-vi và đến canh giữ các cửa, đặng biệt ngày sa-bát ra thánh. Hỡi Đức Chúa Trời tôi ôi! xin hãy vì tôi nhớ đến điều đó, và xin thương xót tôi tùy sự nhân từ lớn lao của Ngài.|我 吩 咐 利 未 人 潔 淨 自 己 、 來 守 城 門 、 使 安 息 日 為 聖 。 我 的 　 神 阿 、 求 你 因 這 事 記 念 我 、 照 你 的 大 慈 愛 憐 恤 我 。
Cũng trong lúc đó, tôi thấy những người Giu-đa lấy đờn bà Ach-đốt, Am-môn, và Mô-áp, làm vợ;|那 些 日 子 我 也 見 猶 大 人 娶 了 亞 實 突 、 亞 捫 、 摩 押 的 女 子 為 妻 。
con cái của chúng nó nói phần nửa tiếng Ach-đốt, không biết nói tiếng Giu-đa, nhưng nói tùy theo tiếng của dân này hay là dân kia.|他 們 的 兒 女 說 話 、 一 半 是 亞 實 突 的 話 、 不 會 說 猶 大 的 話 、 所 說 的 是 照 著 各 族 的 方 言 。
Tôi quở trách chúng nó, rủa sả chúng nó, đánh đập một vài người trong chúng nó, nhổ tóc chúng nó biểu chúng nó chỉ Đức Chúa Trời thề, mà rằng: Các ngươi sẽ không gả con gái mình cho con trai họ, hay là cưới con gái họ cho con trai mình, hoặc là cưới cho chánh mình các ngươi!|我 就 斥 責 他 們 、 咒 詛 他 們 、 打 了 他 們 幾 個 人 、 拔 下 他 們 的 頭 髮 、 叫 他 們 指 著 　 神 起 誓 、 必 不 將 自 己 的 女 兒 嫁 給 外 邦 人 的 兒 子 、 也 不 為 自 己 和 兒 子 娶 他 們 的 女 兒 。
Sa-lô-môn, vua Y-sơ-ra-ên há chẳng có phạm tội trong điều đó sao? Vả, trong nhiều dân tộc không có một vua nào giống như người; người được Đức Chúa Trời đặt người làm vua trên cả Y-sơ-ra-ên: dẫu vậy, người cũng bị đờn bà ngoại bang xui cho phạm tội!|我 又 說 、 以 色 列 王 所 羅 門 不 是 在 這 樣 的 事 上 犯 罪 麼 ． 在 多 國 中 並 沒 有 一 王 像 他 、 且 蒙 他 　 神 所 愛 、 　 神 立 他 作 以 色 列 全 國 的 王 ． 然 而 連 他 也 被 外 邦 女 子 引 誘 犯 罪 。
Chúng ta há sẽ nghe theo các ngươi mà làm những điều ác lớn này, lấy người đờn bà ngoại bang mà vi phạm cùng Đức Chúa Trời chúng ta sao?|如 此 、 我 豈 聽 你 們 行 這 大 惡 、 娶 外 邦 女 子 干 犯 我 們 的 　 神 呢 。
Có một trong các con trai của Giô-gia-đa, cháu Ê-li -a-síp, thầy tế lễ thượng phẩm, là rể của San-ba-lát, người Hô-rôn; vì cớ ấy tôi đuổi hắn khỏi tôi.|大 祭 司 以 利 亞 實 的 孫 子 耶 何 耶 大 的 一 個 兒 子 、 是 和 倫 人 參 巴 拉 的 女 婿 ． 我 就 從 我 這 裡 把 他 趕 出 去 。
Hỡi Đức Chúa Trời tôi ôi! xin nhớ lại chúng nó, vì chúng nó đã làm ô uế chức tế lễ và sự giao ước của chức tế lễ và của người Lê-vi.|我 的 　 神 阿 、 求 你 記 念 他 們 的 罪 ． 因 為 他 們 玷 污 了 祭 司 的 職 任 、 違 背 你 與 祭 司 利 未 人 所 立 的 約 。
Như vậy, tôi dọn sạch chúng cho khỏi các kẻ ngoại bang, và định ban thứ cho những thầy tế lễ và người Lê-vi, mỗi người trong chức việc mình;|這 樣 、 我 潔 淨 他 們 、 使 他 們 離 絕 一 切 外 邦 人 、 派 定 祭 司 和 利 未 人 的 班 次 、 使 他 們 各 盡 其 職 ．
cũng khiến dân sự dâng củi theo kỳ nhất định và các thổ sản đầu mùa. Đức Chúa Trời tôi ôi, xin hãy nhớ đến tôi mà làm ơn cho tôi!|我 又 派 百 姓 按 定 期 獻 柴 、 和 初 熟 的 土 產 。 我 的 　 神 阿 、 求 你 記 念 我 、 施 恩 與 我 。
