
					Dân Số 1				|
các bố vi của hành lang, và bức màn của cửa hành lang bao phủ chung quanh đền tạm và bàn thờ, cùng dây chạc về các việc của đền tạm.|院 子 的 帷 子 、 和 門 簾 （ 院 子 是 圍 帳 幕 和 壇 的 ） 、 並 一 切 使 用 的 繩 子 。
Họ hàng Am-ram, họ hàng Dít-sa, họ hàng Hếp-rôn và họ hàng U-xi-ên thuộc về Kê-hát. Đó là những họ hàng của Kê-hát.|屬 哥 轄 的 、 有 暗 蘭 族 、 以 斯 哈 族 、 希 伯 倫 族 、 烏 薛 族 ． 這 是 哥 轄 的 諸 族 。
Cứ kể mọi nam đinh từ một tháng sắp lên, số là tám ngàn sáu trăm người có chức phận săn sóc nơi thánh.|按 所 有 男 子 的 數 目 、 從 一 個 月 以 外 看 守 聖 所 的 、 共 有 八 千 六 百 名 。
Các họ hàng của con cháu Kê-hát đóng trại bên hông đền tạm về phía nam.|哥 轄 兒 子 的 諸 族 、 要 在 帳 幕 的 南 邊 安 營 。
Quan trưởng của tông tộc Kê-hát là Ê-li-sa-phan, con trai của U-xi-ên.|烏 薛 的 兒 子 以 利 撒 反 作 哥 轄 宗 族 家 室 的 首 領 。
Người Kê-hát coi sóc hòm bảng chứng, cái bàn, chân đèn, các bàn thờ, và những đồ đạc của nơi thánh để dùng về việc thờ phượng, luôn với bức màn và các vật chi can đến.|他 們 所 要 看 守 的 是 約 櫃 、 桌 子 、 燈 臺 、 兩 座 壇 、 與 聖 所 內 使 用 的 器 皿 、 並 簾 子 和 一 切 使 用 之 物 。
Tổng trưởng của người Lê-vi là Ê-lê -a-sa, con trai của thầy tế lễ A-rôn, được đặt lên quản trị những người coi sóc nơi thánh.|祭 司 亞 倫 的 兒 子 以 利 亞 撒 、 作 利 未 人 眾 首 領 的 領 袖 、 要 監 察 那 些 看 守 聖 所 的 人 。
Họ hàng Mách-li và họ hàng Mu-si thuộc về Mê-ra-ri. Đó là hai họ hàng của Mê-ra-ri vậy.|屬 米 拉 利 的 、 有 抹 利 族 、 母 示 族 ． 這 是 米 拉 利 的 二 族 。
Những người trong bọn Mê-ra-ri được tu bộ, kể mọi nam đinh từ một tháng sắp lên, số là sáu ngàn hai trăm người.|他 們 被 數 的 、 按 所 有 男 子 的 數 目 、 從 一 個 月 以 外 的 、 共 有 六 千 二 百 名 。
Quan trưởng của tông tộc Mê-ra-ri là Xu-ri-ên, con trai của A-bi-hai. Con cháu Mê-ra-ri đóng trại bên hông đền tạm về phía bắc,|亞 比 亥 的 兒 子 蘇 列 、 作 米 拉 利 二 宗 族 的 首 領 ． 他 們 要 在 帳 幕 的 北 邊 安 營 。
có phần coi sóc các tấm ván của đền tạm, cây xà ngang, trụ, lỗ trụ, những đồ đạc, và mọi việc thuộc về đó,|米 拉 利 子 孫 的 職 分 、 是 看 守 帳 幕 的 板 、 閂 、 柱 子 、 帶 卯 的 座 、 和 帳 幕 一 切 所 使 用 的 器 具 、
những trụ ở chung quanh hành lang và lỗ trụ, những nọc và dây chạc của trụ.|院 子 四 圍 的 柱 子 、 帶 卯 的 座 、 橛 子 、 和 繩 子 。
Những người đóng trại trước đền tạm về phía đông, tức trước hội mạc về phía mặt trời mọc, là Môi-se, A-rôn và các con trai người, có chức phận săn sóc nơi thánh thế cho dân Y-sơ-ra-ên. Người ngoại đến gần sẽ bị xử tử.|在 帳 幕 前 東 邊 、 向 日 出 之 地 安 營 的 、 是 摩 西 亞 倫 、 和 亞 倫 的 兒 子 ． 他 們 看 守 聖 所 、 替 以 色 列 人 守 耶 和 華 所 吩 咐 的 ． 近 前 來 的 外 人 、 必 被 治 死 。
Hết thảy người Lê-vi mà Môi-se và A-rôn vâng mạng Đức Giê-hô-va tu bộ, tùy theo họ hàng của họ, kể mọi nam đinh từ một tháng sắp lên, số là hai mươi hai ngàn người.|凡 被 數 的 利 未 人 就 是 摩 西 亞 倫 照 耶 和 華 吩 咐 所 數 的 、 按 著 家 室 從 一 個 月 以 外 的 男 子 、 共 有 二 萬 二 千 名 。
Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng: Hãy kê sổ hết thảy con trưởng nam của dân Y-sơ-ra-ên, từ một tháng sắp lên, và hãy dựng sổ tên chúng nó.|耶 和 華 對 摩 西 說 、 你 要 從 以 色 列 人 中 數 點 一 個 月 以 外 凡 頭 生 的 男 子 、 把 他 們 的 名 字 記 下 。
Ta là Đức Giê-hô-va. Ngươi phải chọn lấy cho ta người Lê-vi thế cho các con trưởng nam trong dân Y-sơ-ra-ên; cũng phải bắt súc vật của người Lê-vi thế cho mọi con súc vật đầu lòng của dân Y-sơ-ra-ên.|我 是 耶 和 華 ． 你 要 揀 選 利 未 人 歸 我 、 代 替 以 色 列 人 所 有 頭 生 的 、 也 取 利 未 人 的 牲 畜 代 替 以 色 列 所 有 頭 生 的 牲 畜 。
Vậy, Môi-se kê sổ các con trưởng nam của dân Y-sơ-ra-ên, y như Đức Giê-hô-va đã phán dặn người.|摩 西 就 照 耶 和 華 所 吩 咐 的 、 把 以 色 列 人 頭 生 的 都 數 點 了 。
Hết thảy những con trưởng nam kể từng tên, từ tuổi một tháng sắp lên, theo sự kê sổ họ, là hai mươi hai ngàn hai trăm bảy mươi ba người.|按 人 名 的 數 目 、 從 一 個 月 以 外 、 凡 頭 生 的 男 子 、 共 有 二 萬 二 千 二 百 七 十 三 名 。
Đức Giê-hô-va phán cùng Môi-se rằng:|耶 和 華 曉 諭 摩 西 說 、
Hãy chọn lấy những người Lê-vi thế cho hết thảy con trưởng nam của dân Y-sơ-ra-ên, và súc vật của người Lê-vi thế cho súc vật của dân Y-sơ-ra-ên; vậy, các người Lê-vi sẽ thuộc về ta. Ta là Đức Giê-hô-va.|你 揀 選 利 未 人 代 替 以 色 列 人 所 有 頭 生 的 、 也 取 利 未 人 的 牲 畜 代 替 以 色 列 人 的 牲 畜 ． 利 未 人 要 歸 我 ． 我 是 耶 和 華 。
Còn về sự chuộc lại con trưởng nam của dân Y-sơ-ra-ên, kê sổ hơn số người Lê-vi hai trăm bảy mươi ba,|以 色 列 人 中 頭 生 的 男 子 、 比 利 未 人 多 二 百 七 十 三 個 、 必 當 將 他 們 贖 出 來 。
thì ngươi phải thâu mỗi người năm siếc-lơ, tùy theo siếc-lơ nơi thánh; một siếc-lơ là hai chục ghê-ra.|你 要 按 人 丁 、 照 聖 所 的 平 、 每 人 取 贖 銀 五 舍 客 勒 （ 一 舍 客 勒 是 二 十 季 拉 ） 、
Ngươi phải giao bạc cho A-rôn và các con trai người; ấy là bạc chuộc lại những con trưởng nam trổi hơn.|把 那 多 餘 之 人 的 贖 銀 、 交 給 亞 倫 和 他 的 兒 子 。
Vậy, Môi-se thâu bạc chuộc lại những con trưởng nam trổi hơn số người Lê-vi đã chuộc lại.|於 是 摩 西 從 那 被 利 未 人 所 贖 以 外 的 人 取 了 贖 銀 。
Bạc mà người thâu về những con trưởng nam của dân Y-sơ-ra-ên, cộng được một ngàn ba trăm sáu mươi lăm siếc-lơ, theo siếc-lơ của nơi thánh.|從 以 色 列 人 頭 生 的 所 取 之 銀 、 按 聖 所 的 平 、 有 一 千 三 百 六 十 五 舍 客 勒 。
Môi-se vâng mạng Đức Giê-hô-va, giao bạc chuộc lại cho A-rôn và các con trai người, y như Đức Giê-hô-va đã phán dặn Môi-se.|摩 西 照 耶 和 華 的 話 、 把 這 贖 銀 給 亞 倫 和 他 的 兒 子 、 正 如 耶 和 華 所 吩 咐 的 。

					Dân Số 4				|
						民數記 4					
Đức Giê-hô-va phán cùng Môi-se và A-rôn rằng:|耶 和 華 曉 諭 摩 西 亞 倫 說 、
Trong người Lê-vi hãy dựng sổ các con cháu Kê-hát, tùy theo họ hàng và tông tộc của chúng nó,|你 從 利 未 人 中 、 將 哥 轄 子 孫 的 總 數 、 照 他 們 的 家 室 、 宗 族 、
từ ba mươi tuổi sắp lên cho đến năm mươi, tức là hết thảy người nào có thể giúp công vào hội mạc.|從 三 十 歲 直 到 五 十 歲 、 凡 前 來 任 職 在 會 幕 裡 辦 事 的 、 全 都 計 算 。
Nầy sẽ là phần việc của con cháu Kê-hát tại trong hội mạc. Họ sẽ coi sóc nơi chí thánh.|哥 轄 子 孫 在 會 幕 搬 運 至 聖 之 物 、 所 辦 的 事 、 乃 是 這 樣 ．
Khi nào dời trại quân đi, A-rôn và các con trai người sẽ đến gỡ bức màn mà bao lấy hòm bảng chứng;|起 營 的 時 候 、 亞 倫 和 他 兒 子 、 要 進 去 摘 下 遮 掩 櫃 的 幔 子 、 用 以 蒙 蓋 法 櫃 、
đoạn đắp lên một tấm phủ bằng da cá nược, trải trên một tấm nỉ toàn bằng màu điều xanh và xỏ đòn khiêng vào.|又 用 海 狗 皮 蓋 在 上 頭 、 再 蒙 上 純 藍 色 的 毯 子 、 把 杠 穿 上 。
Cũng trải một tấm nỉ màu điều xanh trên cái bàn về bánh trần thiết; ở trên bàn thì sắp dĩa, chén, tộ và chậu về những lễ quán; bánh hằng trần thiết cũng sẽ có ở trên nữa.|又 用 藍 色 毯 子 鋪 在 陳 設 餅 的 桌 子 上 、 將 盤 子 、 調 羹 、 奠 酒 的 爵 和 杯 擺 在 上 頭 ． 桌 子 上 也 必 有 常 設 的 餅 。
Rồi trải trên các vật đó một tấm nỉ màu đỏ sặm, đắp một tấm phủ bằng da cá nược và xỏ đòn khiêng vào.|在 其 上 又 要 蒙 朱 紅 色 的 毯 子 、 再 蒙 上 海 狗 皮 、 把 杠 穿 上 。
Cũng phải lấy một tấm nỉ màu điều xanh mà đậy chân đèn thắp, các thếp đèn, kéo hớt tim, đồ đựng tro, và các bình dầu mà người ta dùng về chân đèn.|要 拿 藍 色 毯 子 、 把 燈 臺 和 燈 臺 、 上 所 用 的 燈 盞 、 剪 子 、 蠟 花 盤 、 並 一 切 盛 油 的 器 皿 、 全 都 遮 蓋 。
Rồi để chân đèn và hết thảy đồ phụ tùng trong một tấm phủ bằng da cá nược, để lên trên cái sề.|又 要 把 燈 臺 和 燈 臺 的 一 切 器 具 、 包 在 海 狗 皮 裡 、 放 在 抬 架 上 。
Họ phải trải trên bàn thờ bằng vàng một tấm nỉ màu điều xanh và đắp một tấm phủ bằng da cá nược, rồi xỏ đòn khiêng vào.|在 金 壇 上 要 鋪 藍 色 毯 子 、 蒙 上 海 狗 皮 、 把 杠 穿 上 。
Lại, cũng phải lấy hết thảy đồ đạc dùng về công việc nơi thánh, để trong một tấm nỉ màu điều xanh, rồi đắp một tấm phủ bằng da cá nược và để lên trên cái sề.|又 要 把 聖 所 用 的 一 切 器 具 、 包 在 藍 色 毯 子 裡 、 用 海 狗 皮 蒙 上 、 放 在 抬 架 上 。
Phải hốt tro của bàn thờ, trải ở trên một tấm nỉ màu đỏ điều,|要 收 去 壇 上 的 灰 、 把 紫 色 毯 子 鋪 在 壇 上 。
để lên trên hết thảy đồ đạc dùng về công việc của bàn thờ, tức là những lư hương, nĩa, vá, chén, cùng những đồ phụ tùng của bàn thờ. Rồi đắp trên bàn thờ một tấm phủ bằng da cá nược và xỏ đòn khiêng vào.|又 要 把 所 用 的 一 切 器 具 、 就 是 火 鼎 、 肉 鍤 子 、 鏟 子 、 盤 子 、 一 切 屬 壇 的 器 具 、 都 擺 在 壇 上 、 又 蒙 上 海 狗 皮 、 把 杠 穿 上 。
Sau khi A-rôn và các con trai người đã đậy-điệm nơi thánh và các đồ đạc thánh xong, khi dời trại quân đi, thì các con cháu Kê-hát phải đến đặng khiêng các đồ đạc đó; họ chẳng nên đụng vào những vật thánh, e phải chết chăng. Trong hội mạc, ấy là đồ mà các con cháu Kê-hát phải khiêng đi.|將 要 起 營 的 時 候 、 亞 倫 和 他 兒 子 把 聖 所 、 和 聖 所 的 一 切 器 具 遮 蓋 完 了 、 哥 轄 的 子 孫 、 就 要 來 抬 、 只 是 不 可 摸 聖 物 、 免 得 他 們 死 亡 ． 會 幕 裡 這 些 物 件 是 哥 轄 子 孫 所 當 抬 的 。
Ê-lê -a-sa, con trai thầy tế lễ A-rôn, sẽ coi về dầu thắp đèn, hương-liệu, của lễ chay hằng hiến, dầu xức, cả đền tạm, và hết thảy vật chi ở trong nơi thánh với đồ phụ tùng của nơi thánh.|祭 司 亞 倫 的 兒 子 以 利 亞 撒 所 要 看 守 的 、 是 點 燈 的 油 、 與 香 料 、 並 當 獻 的 素 祭 和 膏 油 、 也 要 看 守 全 帳 幕 與 其 中 所 有 的 、 並 聖 所 、 和 聖 所 的 器 具 。
Đức Giê-hô-va lại phán cùng Môi-se và A-rôn rằng:|耶 和 華 曉 諭 摩 西 亞 倫 說 、
Hãy làm thể nào cho tông tộc Kê-hát chớ bị truất khỏi chi phái Lê-vi,|你 們 不 可 將 哥 轄 人 的 支 派 從 利 未 人 中 剪 除 。
và hãy làm điều nầy cho chúng nó, để khi đến gần nơi chí thánh, chúng nó được sống, chẳng phải chết: A-rôn và các con trai người phải đến cắt công việc cho mỗi người, và đồ chi họ phải khiêng đi.|他 們 挨 近 至 聖 物 的 時 候 、 亞 倫 和 他 兒 子 要 進 去 派 他 們 各 人 所 當 辦 的 、 所 當 抬 的 、 這 樣 待 他 們 、 好 使 他 們 活 著 、 不 至 死 亡 。
Dẫu một lát, chúng nó chớ nên vào đặng xem những vật thánh, e phải chết chăng.|只 是 他 們 連 片 時 不 可 進 去 觀 看 聖 所 、 免 得 他 們 死 亡 。
Đức Giê-hô-va lại phán cùng Môi-se rằng:|耶 和 華 曉 諭 摩 西 說 、
Cũng hãy dựng sổ các con cháu Ghẹt-sôn, tùy theo tông tộc và họ hàng họ.|你 要 將 革 順 子 孫 的 總 數 、 照 著 宗 族 、 家 室 、
Từ ba mươi tuổi sắp lên cho đến năm mươi, ngươi khá kê sổ hết thảy những người nào có thể làm công việc trong hội mạc.|從 三 十 歲 直 到 五 十 歲 、 凡 前 來 任 職 在 會 幕 裡 辦 事 的 、 全 都 數 點 。
Nầy là chức việc của các họ hàng Ghẹt-sôn, hoặc phải làm hoặc phải khiêng đồ:|革 順 人 各 族 所 辦 的 事 、 所 抬 的 物 、 乃 是 這 樣 ．
họ sẽ mang những tấm màn của đền tạm và hội mạc, tấm bong của hội mạc, tấm lá-phủ bằng da cá nược ở trên, và bức màn của cửa hội mạc;|他 們 要 抬 帳 幕 的 幔 子 、 和 會 幕 、 並 會 幕 的 蓋 、 與 其 上 的 海 狗 皮 、 和 會 幕 的 門 簾 、
các bố vi của hành lang ở chung quanh đền tạm và bàn thờ, bức màn của cửa hành lang, những dây chạc, và hết thảy đồ dùng về các vật đó, cùng làm các công việc về những món ấy.|院 子 的 帷 子 和 門 簾 （ 院 子 是 圍 帳 幕 和 壇 的 ） 、 繩 子 、 並 所 用 的 器 具 、 不 論 是 作 甚 麼 用 的 、 他 們 都 要 經 理 。
Hết thảy công việc của con cháu Ghẹt-sôn, món chi họ phải khiêng đi, và việc chi họ phải làm điều sẽ theo lịnh A-rôn và các con trai người chỉ biểu; người phải giao cho họ coi sóc mọi món chi phải khiêng đi.|革 順 的 子 孫 在 一 切 抬 物 辦 事 之 上 、 都 要 憑 亞 倫 和 他 兒 子 的 吩 咐 ． 他 們 所 當 抬 的 、 要 派 他 們 看 守 。
Trong hội mạc, ấy là công việc của các họ hàng con cháu Ghẹt-sôn. Họ sẽ giữ chức phận mình dưới quyền cai trị của Y-tha-ma, con trai thầy tế lễ A-rôn.|這 是 革 順 子 孫 的 各 族 、 在 會 幕 裡 所 辦 的 事 、 他 們 所 看 守 的 、 必 在 祭 司 亞 倫 兒 子 以 他 瑪 的 手 下 。
Ngươi phải kê sổ con cháu Mê-ra-ri, tùy theo họ hàng và tông tộc của họ,|至 於 米 拉 利 的 子 孫 、 你 要 照 著 家 室 、 宗 族 、 把 他 們 數 點 。
từ ba mươi tuổi sắp lên cho đến năm mươi, tức là hết thảy người nào có thể giúp công vào hội mạc.|從 三 十 歲 直 到 五 十 歲 、 凡 前 來 任 職 在 會 幕 裡 辦 事 的 、 你 都 要 數 點 。
Về các công việc của con cháu Mê-ra-ri trong hội mạc, nầy là vật họ phải coi sóc và khiêng đi: những tấm ván của đền tạm, các xà ngang, trụ, lỗ trụ,|他 們 辦 理 會 幕 的 事 、 就 是 抬 帳 幕 的 板 、 閂 、 柱 子 、 和 帶 卯 的 座 、
các trụ chung quanh hành lang và lỗ trụ, nọc, dây chạc, cùng hết thảy đồ đạc và các vật chi dùng về việc đó; các ngươi sẽ kê sổ từng tên những vật chi họ phải coi sóc và khiêng đi.|院 子 四 圍 的 柱 子 和 其 上 帶 卯 的 座 、 橛 子 、 繩 子 、 並 一 切 使 用 的 器 具 ． 他 們 所 抬 的 器 具 、 你 們 要 按 名 指 定 。
Đó là hết thảy việc của các họ hàng Mê-ra-ri, về những công việc trong hội mạc mà họ phải làm ở dưới quyền cai trị của Y-tha-ma, con trai thầy tế lễ A-rôn.|這 是 米 拉 利 子 孫 各 族 在 會 幕 裡 所 辦 的 事 、 都 在 祭 司 亞 倫 兒 子 以 他 瑪 的 手 下 。
Vậy, Môi-se, A-rôn và những hội trưởng kê sổ con cháu Kê-hát, tùy theo họ hàng và tông tộc của họ,|摩 西 亞 倫 與 會 眾 的 諸 首 領 、 將 哥 轄 的 子 孫 照 著 家 室 、 宗 族 、
