
					II Kings 1				|
So she went, and came to Mount Carmel, to the man of God. And when the man of God saw her coming in his direction, he said to Gehazi, his servant, See, there is the Shunammite;|Vậy, nàng đi đến cùng người của Đức Chúa Trời tại trên núi Cạt-mên. Người của Đức Chúa Trời thấy nàng đằng xa, bèn nói với Ghê-ha-xi, kẻ tôi tớ mình, rằng: Kìa, người đờn bà Su-nem!
Go quickly to her, and on meeting her say to her, Are you well? and your husband and the child, are they well? And she said in answer, All is well.|Vậy, hãy chạy đi đón nàng, và hỏi nàng rằng: Mọi việc đều bình an chăng? Chồng và con ngươi bình an chăng? Nàng đáp: Bình an.
And when she came to where the man of God was on the hill, she put her hands round his feet; and Gehazi came near with the purpose of pushing her away; but the man of God said, Let her be, for her soul is bitter in her; and the Lord has kept it secret from me, and has not given me word of it.|Khi nàng đến gần người của Đức Chúa Trời, tại trên núi, thì ôm lấy chơn người. Ghê-ha-xi đến gần đặng xô nàng ra, nhưng người của Đức Chúa Trời nói cùng người rằng: Hãy để mặc nàng; linh hồn nàng đắng cay; Đức Giê-hô-va có giấu ta điều đó, không tỏ cho ta hay.
Then she said, Did I make a request to my lord for a son? did I not say, Do not give me false words?|Người đờn bà ấy bèn nói rằng: Tôi há có cầu chúa một đứa con trai sao? Tôi há chẳng có nói với chúa rằng: Xin chớ dối tôi?
Then he said to Gehazi, Make yourself ready, and take my stick in your hand, and go: if you come across anyone on the way, give him no blessing, and if anyone gives you a blessing, give him no answer. And put my stick on the child's face.|Ê-li-sê nói cùng Ghê-ha-xi rằng: Hãy thắt lưng ngươi, cầm gậy ta nơi tay và đi. Nếu ngươi gặp ai, chớ chào họ; nếu ai chào ngươi, chớ đáp lại. Người sẽ đặt cây gậy ta trên mặt đứa trẻ.
But the mother of the child said, As the Lord is living and as your soul is living, I will not go back without you. So he got up and went with her.|Người mẹ của đứa trẻ nói rằng: Tôi chỉ Đức Giê-hô-va hằng sống, và chỉ mạng sống của ông mà thề, tôi chẳng hề lìa khỏi ông! Ê-li-sê bèn chổi dậy, và đi theo người.
And Gehazi went on before them and put the stick on the child's face; but there was no voice, and no one gave attention. So he went back, and meeting him gave him the news, saying, The child is not awake.|Ghê-ha-xi đi trước hai người, và đặt cây gậy trên mặt đứa trẻ. Nhưng người chẳng nghe một tiếng nào, cũng chẳng thấy mòi gì sống. Người trở lại đón Ê-li-sê, và thưa cùng người rằng: Đứa trẻ không tỉnh lại.
And when Elisha came into the house he saw the child dead, stretched on his bed.|Khi Ê-li-sê vào nhà, thấy đứa trẻ đã chết, nằm sải trên giường.
So he went in, and shutting the door on the two of them, made prayer to the Lord.|Ê-li-sê vào trong phòng, đóng cửa lại, có đứa trẻ và mình ở trong, rồi cầu nguyện cùng Đức Giê-hô-va.
Then he got up on the bed, stretching himself out on the child, and put his mouth on the child's mouth, his eyes on his eyes and his hands on his hands; and the child's body became warm.|Đoạn, người leo trên giường, nằm trên đứa trẻ; đặt miệng mình trên miệng nó, mắt mình trên mắt nó, và tay mình trên tay nó. Người nằm ấp trên mình nó, xác đứa trẻ bèn ấm lại.
Then he came back, and after walking once through the house and back, he went up, stretching himself out on the child seven times; and the child's eyes became open.|Ê-li-sê trở xuống, đi qua đi lại trong phòng; đoạn, leo lên giường, nằm ấp trên mình đứa trẻ nữa. Rốt lại, nó nhảy mũi bảy lần, và mở mắt ra.
And he gave orders to Gehazi, and said, Send for the Shunammite. And she came in answer to his voice. And he said, Take up your son.|Ê-li-sê liền gọi Ghê-ha-xi gọi người. Khi nàng chạy đến, Ê-li-sê nói với nàng rằng: Hãy ẵm lấy con ngươi.
And she came in, and went down on her face to the earth at his feet; then she took her son in her arms and went out.|Nàng bèn lại gần, sấp mình xuống dưới chơn người và lạy; đoạn ẵm lấy con mình và đi ra.
And Elisha went back to Gilgal, now there was very little food in the land; and the sons of the prophets were seated before him. And he said to his servant, Put the great pot on the fire, and make soup for the sons of the prophets.|Ê-li-sê trở về Ghinh-ganh. Vả, trong xứ có đói kém. Các môn đồ của những tiên tri đều ngồi trước mặt người. Người biểu kẻ tôi tớ mình rằng: Hãy bắc cái nồi lớn, nấu canh cho các môn đồ của những tiên tri.
And one went out into the field to get green plants and saw a vine of the field, and pulling off the fruit of it till the fold of his robe was full, he came back and put the fruit, cut up small, into the pot of soup, having no idea what it was.|Một người trong bọn họ đi ra ngoài đồng đặng hái rau, thấy một dây rừng leo, bèn hái những dây dưa dại, bọc đầy vạt áo tơi mình. Khi người trở về, xắt ra từng miếng, bỏ trong nồi nấu canh, chẳng biết nó là thứ gì.
Then they gave the men soup from the pot. And while they were drinking the soup, they gave a cry, and said, O man of God, there is death in the pot; and they were not able to take any more food.|Người ta múc cho các người ăn; nhưng vừa khi họ nếm canh, thì la lên rằng: Hỡi người của Đức Chúa Trời, sự chết ở trong nồi nầy! Họ ăn canh ấy không đặng.
But he said, Get some meal. And he put it into the pot, and said, Now give it to the people so that they may have food. And there was nothing bad in the pot.|Ê-li-sê nói: Thế thì, hãy đem bột lại. Người bỏ bột trong nồi, và biểu rằng: Hãy múc cho các người ăn. Vậy, trong canh chẳng còn độc gì nữa.
Now a man came from Baal-shalishah with an offering of first-fruits for the man of God, twenty barley cakes and garden fruit in his bag. And he said, Give these to the people for food.|Có một người ở Ba-anh-Sa-li-sa đến, đem cho người của Đức Chúa Trời hai mươi ổ bánh lúa mạch, và lúa còn gié để trong bị mình, làm của lễ đầu mùa gặt. Ê-li-sê biểu kẻ tôi tớ mình rằng: Hãy đem phát cho các người ăn.
But his servant said, How am I to put this before a hundred men? But he said, Give it to the people for food; for the Lord says, There will be food for them and some over.|Kẻ tôi tớ người thưa rằng: Chi! Tôi phải phát đồ này cho một trăm người sao? Nhưng Ê-li-sê đáp: Hãy phát cho họ các bánh đó, hầu cho họ ăn đi; vì Đức Giê-hô-va có phán như vầy: Người ta sẽ ăn và còn dư lại.
So he put it before them, and they had a meal and there was more than enough, as the Lord had said.|Ay vậy, người đặt các bánh đó trước mặt họ; họ ăn, và còn thừa lại, y như lời của Đức Giê-hô-va đã phán.

					II Kings 5				|
						II Các Vua 5					
Now Naaman, chief of the army of the king of Aram, was a man of high position with his master, and greatly respected, because by him the Lord had given salvation to Aram; but he was a leper.|Na -a-man, quan tổng binh của vua Sy-ri, là một người có quyền trước mặt chủ mình, được tôn trọng lắm, bởi vì Đức Giê-hô-va dùng người giải cứu dân Sy-ri; người này vốn mạnh mẽ và bạo dạn, song bị bịnh phung.
Now the Aramaeans had gone out in bands, and taken prisoner from Israel a little girl, who became servant to Naaman's wife.|Vả, có một vài toán dân Sy-ri đi ra bắt một đứa gái nhỏ của xứ Y-sơ-ra-ên làm phu tù, để hầu hạ vợ Na -a-man.
And she said to her master's wife, If only my lord would go to the prophet in Samaria, he would make him well.|Một ngày kia, nó nói với bà chủ mình rằng: Oi! Chớ chi chúa tôi đi đến cùng ông tiên tri ở Sa-ma-ri! Người sẽ giải cứu chúa tôi khỏi bịnh phung.
And someone went and said to his lord, This is what the girl from the land of Israel says.|Na -a-man đem các lời này thưa lại cho chúa mình, mà rằng: Đứa gái nhỏ ở xứ Y-sơ-ra-ên có nói thể nầy thể này.
So the king of Aram said, Go then; and I will send a letter to the king of Israel. And he went, taking with him ten talents of silver and six thousand shekels of gold, and ten changes of clothing.|Vua Sy-ri đáp: Hãy đi, ta sẽ gởi thơ cho vua Y-sơ-ra-ên. Vậy, Na -a-man đi, đem theo mình mười ta lâng bạc, sáu ngàn đồng vàng, và mười bộ áo.
And he took the letter to the king of Israel, in which the king of Aram had said, See, I have sent my servant Naaman to you to be made well, for he is a leper.|Người đem bức thơ dâng cho vua Y-sơ-ra-ên; thơ rằng: Khi thơ nầy đạt đến cùng vua, kìa ta đã sai Na -a-man, đầy tớ ta đến cùng vua; vua tiếp được bức thơ nầy ấy để vua giải cứu bịnh phung cho người.
But the king of Israel, after reading the letter, was greatly troubled and said, Am I God, to give death and life? why does this man send a leper to me to be made well? is it not clear that he is looking for a cause of war?|Khi vua Y-sơ-ra-ên đọc thơ rồi, liền xé quần áo mình, và nói rằng: Ong ấy sai người đến cùng ta để ta chữa khỏi bịnh phung cho họ, ta há phải là Đức Chúa Trời, có quyền làm sống làm chết sao? Khá nên biết và xem thấy rằng người tìm dịp để nghịch cùng ta.
Now Elisha, the man of God, hearing that the king of Israel had done this, sent to the king, saying, Why are you troubled? send the man to me, so that he may see that there is a prophet in Israel.|Khi Ê-li-sê, người của Đức Chúa Trời, hay rằng vua Y-sơ-ra-ên có xé quần áo mình, thì sai nói với người rằng: Cớ sao vua xé quần áo mình? Na -a-man hãy đến tôi, ắt người sẽ biết rằng trong Y-sơ-ra-ên có tiên tri.
So Naaman, with all his horses and his carriages, came to the door of Elisha's house.|Vậy, Na -a-man đến với ngựa và xe dừng tại cửa nhà Ê-li-sê.
