
					Numbers 1				|
From the first sons of Israel he took it, a thousand, three hundred and sixty-five shekels, by the scale of the holy place;|Bạc mà người thâu về những con trưởng nam của dân Y-sơ-ra-ên, cộng được một ngàn ba trăm sáu mươi lăm siếc-lơ, theo siếc-lơ của nơi thánh.
And he gave the money to Aaron and his sons, as the Lord had said.|Môi-se vâng mạng Đức Giê-hô-va, giao bạc chuộc lại cho A-rôn và các con trai người, y như Đức Giê-hô-va đã phán dặn Môi-se.

					Numbers 4				|
						Dân Số 4					
And the Lord said to Moses and Aaron,|Đức Giê-hô-va phán cùng Môi-se và A-rôn rằng:
Let the sons of Kohath, from among the sons of Levi, be numbered by their families, in the order of their fathers' houses;|Trong người Lê-vi hãy dựng sổ các con cháu Kê-hát, tùy theo họ hàng và tông tộc của chúng nó,
All those from thirty to fifty years old who are able to do the work of the Tent of meeting.|từ ba mươi tuổi sắp lên cho đến năm mươi, tức là hết thảy người nào có thể giúp công vào hội mạc.
And this is to be the work of the sons of Kohath in connection with the most holy things.|Nầy sẽ là phần việc của con cháu Kê-hát tại trong hội mạc. Họ sẽ coi sóc nơi chí thánh.
When all the people go forward, Aaron is to go in with his sons, and take down the veil of the curtain, covering the ark of witness with it;|Khi nào dời trại quân đi, A-rôn và các con trai người sẽ đến gỡ bức màn mà bao lấy hòm bảng chứng;
And putting over it the leather cover and over that a blue cloth; and putting its rods in place.|đoạn đắp lên một tấm phủ bằng da cá nược, trải trên một tấm nỉ toàn bằng màu điều xanh và xỏ đòn khiêng vào.
And on the table of the holy bread they are to put a blue cloth, and on it all the vessels, the spoons and the basins and the cups; and the holy bread with them;|Cũng trải một tấm nỉ màu điều xanh trên cái bàn về bánh trần thiết; ở trên bàn thì sắp dĩa, chén, tộ và chậu về những lễ quán; bánh hằng trần thiết cũng sẽ có ở trên nữa.
And over them they are to put a red cloth, covering it with a leather cover, and putting its rods in their places.|Rồi trải trên các vật đó một tấm nỉ màu đỏ sặm, đắp một tấm phủ bằng da cá nược và xỏ đòn khiêng vào.
And they are to take a blue cloth, covering with it the light-support with its lights and its instruments and its trays and all the oil vessels which are used for it:|Cũng phải lấy một tấm nỉ màu điều xanh mà đậy chân đèn thắp, các thếp đèn, kéo hớt tim, đồ đựng tro, và các bình dầu mà người ta dùng về chân đèn.
All these they are to put in a leather cover, and put it on the frame.|Rồi để chân đèn và hết thảy đồ phụ tùng trong một tấm phủ bằng da cá nược, để lên trên cái sề.
On the gold altar they are to put a blue cloth, covering it with a leather cover; and they are to put its rods in their places.|Họ phải trải trên bàn thờ bằng vàng một tấm nỉ màu điều xanh và đắp một tấm phủ bằng da cá nược, rồi xỏ đòn khiêng vào.
All the vessels which are used in the holy place they are to put in a blue cloth, covering them with a leather cover, and put them on the frame.|Lại, cũng phải lấy hết thảy đồ đạc dùng về công việc nơi thánh, để trong một tấm nỉ màu điều xanh, rồi đắp một tấm phủ bằng da cá nược và để lên trên cái sề.
And they are to take away the burned waste from the altar, and put a purple cloth on it;|Phải hốt tro của bàn thờ, trải ở trên một tấm nỉ màu đỏ điều,
Placing on the cloth all its vessels, the fire-baskets, the meat-hooks, the spades, and the basins; all the vessels of the altar; they are to put a leather cover over all these, and put its rods in their places.|để lên trên hết thảy đồ đạc dùng về công việc của bàn thờ, tức là những lư hương, nĩa, vá, chén, cùng những đồ phụ tùng của bàn thờ. Rồi đắp trên bàn thờ một tấm phủ bằng da cá nược và xỏ đòn khiêng vào.
And after the holy place and all its vessels have been covered up by Aaron and his sons, when the tents of the people go forward, the sons of Kohath are to come and take it up; but the holy things may not be touched by them for fear of death.|Sau khi A-rôn và các con trai người đã đậy-điệm nơi thánh và các đồ đạc thánh xong, khi dời trại quân đi, thì các con cháu Kê-hát phải đến đặng khiêng các đồ đạc đó; họ chẳng nên đụng vào những vật thánh, e phải chết chăng. Trong hội mạc, ấy là đồ mà các con cháu Kê-hát phải khiêng đi.
And Eleazar, the son of Aaron the priest, is to be responsible for the oil for the light, and the sweet perfumes for burning, and the regular meal offering, and the holy oil; the House and the holy place and everything in it will be in his care.|Ê-lê -a-sa, con trai thầy tế lễ A-rôn, sẽ coi về dầu thắp đèn, hương-liệu, của lễ chay hằng hiến, dầu xức, cả đền tạm, và hết thảy vật chi ở trong nơi thánh với đồ phụ tùng của nơi thánh.
And the Lord said to Moses and Aaron,|Đức Giê-hô-va lại phán cùng Môi-se và A-rôn rằng:
Do not let the family of the Kohathites be cut off from among the Levites;|Hãy làm thể nào cho tông tộc Kê-hát chớ bị truất khỏi chi phái Lê-vi,
But do this to them, so that life and not death may be theirs when they come near the most holy things; let Aaron and his sons go in and give to every one his work and that which he is to take up;|và hãy làm điều nầy cho chúng nó, để khi đến gần nơi chí thánh, chúng nó được sống, chẳng phải chết: A-rôn và các con trai người phải đến cắt công việc cho mỗi người, và đồ chi họ phải khiêng đi.
But they themselves are not to go in to see the holy place, even for a minute, for fear of death.|Dẫu một lát, chúng nó chớ nên vào đặng xem những vật thánh, e phải chết chăng.
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
Let the sons of Gershon be numbered by families, in the order of their fathers' houses;|Cũng hãy dựng sổ các con cháu Ghẹt-sôn, tùy theo tông tộc và họ hàng họ.
All those from thirty to fifty years old who are able to do the work of the Tent of meeting.|Từ ba mươi tuổi sắp lên cho đến năm mươi, ngươi khá kê sổ hết thảy những người nào có thể làm công việc trong hội mạc.
This is to be the work of the Gershonites, the things they are to do and take up.|Nầy là chức việc của các họ hàng Ghẹt-sôn, hoặc phải làm hoặc phải khiêng đồ:
They are to take up the curtains of the House, and the Tent of meeting with its cover and the leather cover over it, and the hangings for the door of the Tent of meeting;|họ sẽ mang những tấm màn của đền tạm và hội mạc, tấm bong của hội mạc, tấm lá-phủ bằng da cá nược ở trên, và bức màn của cửa hội mạc;
And the hangings for the open space round the House and the altar, and the curtain for its doorway, with the cords and all the things used for them; whatever is necessary for these, they are to do.|các bố vi của hành lang ở chung quanh đền tạm và bàn thờ, bức màn của cửa hành lang, những dây chạc, và hết thảy đồ dùng về các vật đó, cùng làm các công việc về những món ấy.
From the mouth of Aaron and his sons the Gershonites will have word about all the things they are to do and take up; you are to give them their orders.|Hết thảy công việc của con cháu Ghẹt-sôn, món chi họ phải khiêng đi, và việc chi họ phải làm điều sẽ theo lịnh A-rôn và các con trai người chỉ biểu; người phải giao cho họ coi sóc mọi món chi phải khiêng đi.
This is the work of the family of the Gershonites in the Tent of meeting, and they will be under the direction of Ithamar, the son of Aaron the priest.|Trong hội mạc, ấy là công việc của các họ hàng con cháu Ghẹt-sôn. Họ sẽ giữ chức phận mình dưới quyền cai trị của Y-tha-ma, con trai thầy tế lễ A-rôn.
The sons of Merari are to be numbered by families, in the order of their fathers' houses;|Ngươi phải kê sổ con cháu Mê-ra-ri, tùy theo họ hàng và tông tộc của họ,
Every one from thirty to fifty years old who is able to do the work of the Tent of meeting.|từ ba mươi tuổi sắp lên cho đến năm mươi, tức là hết thảy người nào có thể giúp công vào hội mạc.
And this is their part in the work of the Tent of meeting: the transport of the boards and the rods of the Tent, with the pillars and their bases;|Về các công việc của con cháu Mê-ra-ri trong hội mạc, nầy là vật họ phải coi sóc và khiêng đi: những tấm ván của đền tạm, các xà ngang, trụ, lỗ trụ,
And the pillars of the open space outside it, with their bases and their nails and cords and all the instruments used, and everything which has to be done there; all the instruments for which they are responsible are to be numbered by name.|các trụ chung quanh hành lang và lỗ trụ, nọc, dây chạc, cùng hết thảy đồ đạc và các vật chi dùng về việc đó; các ngươi sẽ kê sổ từng tên những vật chi họ phải coi sóc và khiêng đi.
This is the work which the sons of Merari are to do in connection with the Tent of meeting, under the direction of Ithamar, the son of Aaron the priest.|Đó là hết thảy việc của các họ hàng Mê-ra-ri, về những công việc trong hội mạc mà họ phải làm ở dưới quyền cai trị của Y-tha-ma, con trai thầy tế lễ A-rôn.
So Moses and Aaron and the chiefs of the people took in hand the numbering of the sons of the Kohathites, by families, in the order of their fathers' houses;|Vậy, Môi-se, A-rôn và những hội trưởng kê sổ con cháu Kê-hát, tùy theo họ hàng và tông tộc của họ,
Numbering all those from thirty to fifty years old who were able to do the work in the Tent of meeting;|từ ba mươi tuổi sắp lên cho đến năm mươi, tức là hết thảy người nào có thể giúp công trong hội mạc;
And the number of all these was two thousand, seven hundred and fifty.|và những người mà người ta kê sổ, tùy theo họ hàng mình, cộng được hai ngàn bảy trăm năm mươi.
This is the number of those of the Kohathites who did the work in the Tent of meeting, as they were numbered by Moses and Aaron at the order of the Lord.|Đó là những người của các họ hàng Kê-hát đã bị kê sổ, tức là hết thảy người hầu việc trong hội mạc mà Môi-se và A-rôn kê sổ, y theo mạng của Đức Giê-hô-va đã cậy Môi-se truyền dạy.
