
					I Kings 1				|
Why then have you not kept the oath of the Lord and the order which I gave you?|Vậy, cớ sao ngươi không giữ lời chỉ Đức Giê-hô-va mà thề, và mạng lịnh Đức Giê-hô-va truyền cho ngươi?
And the king said to Shimei, You have knowledge of all the evil which you did to David my father; and now the Lord has sent back your evil on yourself.|Vua lại nói với Si-mê -i rằng: Ngươi biết mọi sự ác ngươi đã làm cho Đa-vít, là cha ta, mà lòng ngươi vẫn còn nhớ lắm. Vậy nên Đức Giê-hô-va sẽ khiến sự ác của ngươi đổ lại tên đầu ngươi.
But a blessing will be on King Solomon, and the kingdom of David will keep its place before the Lord for ever.|Nhưng vua Sa-lô-môn sẽ được phước, và ngôi của Đa-vít sẽ được lập vững bền đến đời đời.
So the king gave orders to Benaiah, the son of Jehoiada; and he went out and, falling on him, put him to death. And Solomon's authority over the kingdom was complete.|Đoạn, vua truyền lịnh cho Bê-na-gia, con trai Giê-hô-gia-đa; người bèn đi ra đánh giết Si-mê -i. Như vậy, ngôi nước được vững bền trong tay Sa-lô-môn.

					I Kings 3				|
						I Các Vua 3					
Solomon became the son-in-law of Pharaoh, king of Egypt, and took Pharaoh's daughter as his wife, keeping her in the town of David, till the house he was building for himself, and the house of the Lord and the wall round Jerusalem, were complete.|Sa-lô-môn kết thân với Pha-ra-ôn, vua Ê-díp-tô, cưới con gái người, rước nàng về thành Đa-vít, đợi xây cất xong cung điện riêng mình, đền của Đức Giê-hô-va, và tường thành chung quanh Giê-ru-sa-lem.
But all this time the people were making their offerings in the high places, because no house had been put up to the name of the Lord till those days.|Dân sự hãy còn dâng của lễ trên các nơi cao, vì cho đến bấy giờ chưa có xây cất đền nào cho danh Đức Giê-hô-va.
And Solomon, in his love for the Lord, kept the laws of David his father; but he made offerings and let them go up in smoke on the high places.|Sa-lô-môn kính mến Đức Giê-hô-va, và đi theo các luật lệ của Đa-vít, cha mình; song người dâng của lễ và xông hương tại trên nơi cao.
And the king went to Gibeon to make an offering there, because that was the chief high place: it was Solomon's way to make a thousand burned offerings on that altar.|Vua đi đến Ga-ba-ôn đặng dâng của lễ tại đó, vì nơi cao ấy là trọng nhất; trên bàn thờ đó Sa-lô-môn dâng một ngàn con sinh làm của lễ thiêu.
In Gibeon, Solomon had a vision of the Lord in a dream by night; and God said to him, Say what I am to give you.|Tại Ga-ba-ôn, lúc ban đêm, Đức Giê-hô-va hiện đến cùng Sa-lô-môn trong cơn chiêm bao, và phán với người rằng: Hãy xin điều gì ngươi muốn ta ban cho ngươi.
And Solomon said, Great was your mercy to David my father, as his life before you was true and upright and his heart was true to you; and you have kept for him this greatest mercy, a son to take his place this day.|Sa-lô-môn thưa rằng: Chúa đã lấy ơn lớn đãi kẻ tôi tớ Chúa, là Đa-vít, cha tôi, theo như người lấy sự trung tín, sự công bình và lòng ngay trọn vẹn mà đi trước mặt Đức Giê-hô-va; lại Chúa có giữ ơn lớn ấy cho người, mà ban cho người một con trai ngồi trên ngai của người, y như đã có ngày nay.
And now, O Lord my God, you have made your servant king in the place of David my father; and I am only a young boy, with no knowledge of how to go out or come in.|Giê-hô-va Đức Chúa Trời ôi! bây giờ Chúa đã khiến kẻ tôi tớ Chúa trị vì kế Đa-vít, là cha tôi; nhưng tôi chỉ là một đứa trẻ nhỏ chẳng biết phải ra vào làm sao.
And your servant has round him the people of your selection, a people so great that they may not be numbered, and no account of them may be given.|Kẻ tôi tớ Chúa ở giữa dân của Chúa chọn, là một dân đông vô số, không thể đếm được.
Give your servant, then, a wise heart for judging your people, able to see what is good and what evil; for who is able to be the judge of this great people?|Vậy, xin ban cho kẻ tôi tớ Chúa tấm lòng khôn sáng, để đoán xét dân sự Ngài và phân biệt điều lành điều dữ; vì ai có thể đoán xét dân rất lớn này của Chúa?
Now these words and Solomon's request were pleasing to the Lord.|Lời của Sa-lô-môn đẹp lòng Chúa, vì người đã cầu xin sự đó.
And God said to him, Because your request is for this thing, and not for long life for yourself or for wealth or for the destruction of your haters, but for wisdom to be a judge of causes;|Đức Chúa Trời phán với người rằng: Bởi vì ngươi đã cầu xin điều này, mà không xin sự sống lâu, không xin sự giàu có, cũng không xin mạng của những kẻ thù nghịch ngươi, nhưng xin sự thông minh để biết xét đoán,
I have done as you said: I have given you a wise and far-seeing heart, so that there has never been your equal in the past, and never will there be any like you in the future.|nầy, ta đã làm theo lời cầu xin của ngươi, ban cho ngươi tấm lòng khôn ngoan thông sáng đến đỗi trước ngươi chẳng có ai bằng, và sau ngươi cũng sẽ chẳng có ai ngang.
And with this I have given you what you made no request for: wealth and honour, so that no king was ever your equal.|Vả lại, ta cũng đã ban cho ngươi những điều ngươi không xin, tức là sự giàu có và sự vinh hiển, đến đỗi trọn đời ngươi, trong vòng các vua, sẽ chẳng có ai giống như ngươi.
And if you go on in my ways, keeping my laws and my orders as your father David did, I will give you a long life.|Lại nếu ngươi đi trong đường lối ta, như Đa-vít, cha ngươi, đã đi, thì ta sẽ khiến cho ngươi được sống lâu ngày thêm.
And Solomon, awakening, saw that it was a dream; then he came to Jerusalem, where he went before the ark of the agreement of the Lord, offering burned offerings and peace-offerings; and he made a feast for all his servants.|Bấy giờ, Sa-lô-môn thức dậy, thấy là một điềm chiêm bao. Người trở về Giê-ru-sa-lem, đứng trước mặt hòm giao ước của Đức Giê-hô-va, dâng của lễ thiêu cùng của lễ thù ân, và đãi tiệc cho hết thảy tôi tớ mình.
Then two loose women of the town came and took their places before the king;|Bấy giờ, có hai con bợm đến cùng vua, đứng trước mặt vua.
And one of them said, O my lord, I and this woman are living in the same house; and I gave birth to a child by her side in the house.|Một đứa nói: Chúa tôi ôi! người đờn bà này và tôi ở chung nhau một nhà, và tôi đẻ bên người trong nhà đó.
And three days after the birth of my child, this woman had a child: we were together, no other-person was with us in the house but we two only.|Sau bà ngày, người này cũng đẻ; chúng tôi ở chung nhau, chẳng một người lạ nào ở với chúng tôi trong nhà; chỉ có hai chúng tôi ở đó mà thôi.
In the night, this woman, sleeping on her child, was the cause of its death.|Lúc ban đêm, con trai của người nầy chết, bởi vì người đã nằm đè trên nó.
And she got up in the middle of the night and took my son from my side while your servant was sleeping; and she took it in her arms and put her dead child in my arms.|Đêm khuya người chổi dậy, và trong khi con đòi vua ngủ, thì người lấy con trai tôi khỏi bên tôi, mà để nó nằm trong lòng mình; rồi đặt con trai chết của nó nằm trong lòng tôi.
And when I got up to give my child the breast, I saw that it was dead; but in the morning, looking at it with care, I saw that it was not my son.|Sáng sớm, tôi thức dậy đặng cho con trai tôi bú, thì thấy nó đã chết; nhưng sáng rõ, tôi nhìn nó kỹ càng, thấy chẳng phải là con trai tôi đã đẻ.
And the other woman said, No; but the living child is my son and the dead one yours. But the first said, No; the dead child is your son and the living one mine. So they kept on talking before the king.|Người đờn bà kia trả lời rằng: Không phải vậy; vì đứa sống là con trai tao, đứa chết là con trai mầy. Song đờn bà này nói: Không phải vậy đâu; đứa chết là con trai mầy, còn đứa sống là con trai tao. Hai người cãi nhau như vậy trước mặt vua.
Then the king said, One says, The living child is my son, and yours is the dead: and the other says, Not so; but your son is the dead one and mine is the living.|Vua bèn phán rằng: Người này nói: Đứa còn sống là con trai tao, và đứa chết là con trai mầy. Người kia nói: Không phải vậy đâu; song con trai mầy ấy là đứa chết, và con trai tao ấy là đứa sống.
Then he said, Get me a sword. So they went and put a sword before the king.|Vua bèn tiếp rằng: Vậy, hãy đem cho ta một cây gươm. Người ta đem cho vua một cây gươm.
And the king said, Let the living child be cut in two and one half given to one woman and one to the other.|Vua lại phán: Hãy chia đứa trẻ sống làm hai; phân nửa cho người nầy và phân nửa cho người kia.
Then the mother of the living child came forward, for her heart went out to her son, and she said, O my lord, give her the child; do not on any account put it to death. But the other woman said, It will not be mine or yours; let it be cut in two.|Nhưng mẹ của đứa trẻ sống, vì gan ruột cảm động thương yêu con mình, bèn tâu với vua rằng: Oi chúa tôi! Xin hãy cho người kia con trẻ sống, chớ giết nó. Nhưng người kia nói rằng: Nó sẽ chẳng thuộc về tao, cũng chẳng thuộc về mầy; hãy chia nó đi.
Then the king made answer and said, Give her the child, and do not put it to death; she is the mother of it.|Bấy giờ, vua cất tiếng phán rằng: Hãy cho người nầy đứa trẻ sống, chớ giết nó ấy là mẹ nó.
And news of this decision which the king had made went through all Israel; and they had fear of the king, for they saw that the wisdom of God was in him to give decisions.|Cả Y-sơ-ra-ên đều nghe sự đoán xét mà vua đã làm, thì bắt kính sợ vua, vì thấy trong lòng người có sự khôn ngoan của Đức Chúa Trời đặng xử đoán công bình.

					I Kings 4				|
						I Các Vua 4					
Now Solomon was king over all Israel.|Vua Sa-lô-môn trị vì trên cả Y-sơ-ra-ên.
And these were his chief men: Azariah, the son of Zadok, was the priest;|Nầy là các triều thần của người: A-xa-ria, con trai thầy tế lễ Xa-đốc;
Elihoreph and Ahijah, the sons of Shisha, were scribes; Jehoshaphat, the son of Ahilud, was the recorder;|Ê-li-ô-rếp và A-hi-gia, con trai của Si-na, làm ký lục; Giê-hô-sa-phát, con trai A-hi-lút, làm thủ bộ;
Benaiah, the son of Jehoiada, was head of the army; Zadok and Abiathar were priests;|Bê-na-gia, con trai Giê-hô-gia-đa, làm tổng binh, Xa-đốc và A-bia-tha làm thầy tế lễ.
Azariah, the son of Nathan, was over those in authority in the different divisions of the country; Zabud, the son of Nathan, was priest and the king's friend;|A-xa-ria, con trai na-than, làm đầu các quan lại; Xa-bút, con trai Na-than, làm tể tướng và là bạn của vua;
