
					II Samuel 1				|
And Rechab and Baanah, the sons of Rimmon the Beerothite, went out and came to the house of Ish-bosheth in the heat of the day, when he was resting in the middle of the day. Now the woman who kept the door was cleaning grain, and sleep overcame her.|Hai con trai của Rim-môn ở Bê-ê-rốt, là Rê-cáp và Ba -a-na, trong lúc trời nắng ban ngày, đi đến nhà Ích-bô-sết, người đương nằm nghỉ trưa.
And Rechab and his brother Baanah got in without being seen.|Hai người đi tuốt đến giữa nhà, giả đò lấy lúa mì, rồi đâm bụng Ích-bô-sết; đoạn Rê-cáp và Ba -a-na, anh người, trốn đi.
And when they came into the house, Ish-bosheth was stretched on his bed in his bedroom; and they made an attack on him and put him to death, and, cutting off his head, they took it with them and went by the road through the Arabah all night.|Vậy, hai người đi vào nhà Ích-bô-sết, trong khi người nằm nghỉ trên giường tại phòng ngủ, đánh giết người; đoạn cắt lấy đầu người, rồi bắt đường đồng bằng mà đi trọn đêm.
And they took the head of Ish-bosheth to David in Hebron, and said to the king, Here is the head of Ish-bosheth, the son of Saul your hater, who would have taken your life; the Lord has taken payment for the wrongs of my lord the king from Saul and his seed today.|Hai người đem đầu Ích-bô-sết về Hếp-rôn, dâng cho vua Đa-vít, mà rằng: Nầy là đầu của Ích-bô-sết, con trai của Sau-lơ, kẻ thù nghịch vua, vẫn toan hại mạng sống vua; ngày nay Đức Giê-hô-va đã báo thù Sau-lơ và dòng dõi người cho vua, là chúa tôi.
And David made answer to Rechab and his brother Baanah, the sons of Rimmon the Beerothite, and said to them, By the living Lord, who has kept me safe from all my trouble,|Nhưng Đa-vít đáp cùng Rê-cáp và Ba -a-na con trai của Rim-môn ở Bê-ê-rốt, mà rằng: Ta chỉ Đức Giê-hô-va hằng sống, là Đấng đã cứu ta khỏi các hoạn nạn, mà thề rằng:
When one came to me with the news of Saul's death, in the belief that it would be good news, I took him and put him to death in Ziklag, which was the reward I gave him for his news:|Ta đã sai bắt kẻ đã đến thuật cho ta hay rằng Sau-lơ đã thác, và tư tưởng rằng mình là một sứ giả đem tin lành; ta đã giết kẻ đó tại Xiếc-lác đặng trả công cho một sự báo tin dường ấy.
How much more, when evil men have put an upright person to death, in his house, sleeping on his bed, will I take payment from you for his blood, and have you cut off from the earth?|Phương chi những kẻ hung ác đã giết một người lành nằm trên giường tại trong nhà mình! Vậy, ta há chẳng nên đòi huyết người lại nơi tay các ngươi, và diệt các ngươi khỏi đất sao?
And David gave orders to his young men and they put them to death, cutting off their hands and their feet and hanging them up by the side of the pool in Hebron. But they took the head of Ish-bosheth and put it in its last resting-place with Abner's body in Hebron.|Đa-vít bèn truyền lịnh các đầy tớ mình giết hai người đó. Chúng chặt tay và chơn họ, rồi treo thây gần bên ao Hếp-rôn. Đoạn, chúng lấy đầu của Ích-bô-sết, chôn trong mồ Ap-ne, tại Hếp-rôn.

					II Samuel 5				|
						II Sa-mu-ên 5					
Then all the tribes of Israel came to David in Hebron and said, Truly, we are your bone and your flesh.|Bấy giờ, hết thảy các chi phái Y-sơ-ra-ên đến cùng Đa-vít tại Hếp-rôn, mà nói rằng: Chúng tôi đây vốn là cốt nhục của vua.
In the past when Saul was king over us, it was you who went at the head of Israel when they went out or came in: and the Lord said to you, You are to be the keeper of my people Israel and their ruler.|Đã từ xưa, khi Sau-lơ còn cai trị chúng tôi, chính vua đã dắt Y-sơ-ra-ên ra trận và đem họ về. Đức Giê-hô-va có phán cùng vua rằng: Ngươi sẽ chăn dân sự ta, và làm vua của Y-sơ-ra-ên.
So all the responsible men of Israel came to the king at Hebron; and King David made an agreement with them in Hebron before the Lord: and they put the holy oil on David and made him king over Israel.|Vậy, hết thảy các trưởng lão Y-sơ-ra-ên đến cùng vua tại Hếp-rôn, vua Đa-vít lập giao ước với họ tại Hếp-rôn, trước mặt Đức Giê-hô-va, và chúng xức dầu cho Đa-vít làm vua của Y-sơ-ra-ên.
David was thirty years old when he became king, and he was king for forty years,|Khi Đa-vít khởi trị vì, tuổi đã được ba mươi; người cai trị bốn mươi năm.
Ruling over Judah in Hebron for seven years and six months, and in Jerusalem, over all Israel and Judah, for thirty-three years.|Tại Hếp-rôn, Đa-vít trị vì trên Giu-đa bảy năm sáu tháng; rồi tại Giê-ru-sa-lem, người trị vì trên cả dân Y-sơ-ra-ên và Giu-đa ba mươi ba năm.
And the king and his men went to Jerusalem against the Jebusites, the people of the land: and they said to David, You will not come in here, but the blind and the feeble-footed will keep you out; for they said, David will not be able to come in here.|Vua và các thủ hạ kéo đến Giê-ru-sa-lem, đánh dân Giê-bu-sít, vốn ở tại xứ nầy. Chúng nó nói cùng Đa-vít rằng: Ngươi chớ vào đây: những kẻ đui và què, đủ mà xô đuổi người đi! người là muốn nói: Đa-vít sẽ không vào đây được.
But David took the strong place of Zion, which is the town of David.|Nhưng Đa-vít hãm lấy đồn Si-ôn: ấy là thành Đa-vít.
And that day David said, Whoever makes an attack on the Jebusites, let him go up by the water-pipe, and put to death all the blind and feeble-footed who are hated by David. And this is why they say, The blind and feeble-footed may not come into the house.|Trong ngày đó, Đa-vít nói rằng: Phàm người nào đánh dân Giê-bu-sít, nhào xuống khe kẻ què và kẻ đui chúng nó, tức những kẻ cừu địch của Đa-vít, . Bởi cớ đó có tục ngữ rằng: Kẻ đui và kẻ què đều sẽ chẳng vào nhà nầy.
So David took the strong tower for his living-place, naming it the town of David. And David took in hand the building of the town all round, starting from the Millo.|Đa-vít ở trong đồn, đặt tên là thành Đa-vít; người xây vách tứ vi từ Mi-lô trở về trong.
And David became greater and greater; for the Lord, the God of armies, was with him.|Đa-vít càng ngày càng cường thạnh, và Giê-hô-va là Đức Chúa Trời vạn quân ở cùng người.
And Hiram, king of Tyre, sent men to David, with cedar-trees and woodworkers and stoneworkers: and they made David a house.|Hi-ram, vua thành Ty-rơ, sai sứ đến Đa-vít, đem theo gỗ bá hương, thợ mộc, thợ đá đặng xây cất một cái đền cho Đa-vít.
And David saw that the Lord had made his position safe as king over Israel, and that he had made his kingdom great because of his people Israel.|Bấy giờ, Đa-vít nhìn biết rằng Đức Giê-hô-va đã lập mình làm vua trên Y-sơ-ra-ên, và khiến nước mình được thạnh vượng vì cớ dân Y-sơ-ra-ên của Ngài.
And David took more women and wives in Jerusalem, after he had come from Hebron: and he had more sons and daughters.|Sau khi Đa-vít từ Hếp-rôn đến, thì còn cưới thêm những hầu và vợ ở Giê-ru-sa-lem; lại sanh thêm cho người những con trai con gái khác.
These are the names of those whose birth took place in Jerusalem: Shammua and Shobab and Nathan and Solomon|Nầy là tên các con trai sanh cho người tại thành Giê-ru-sa-lem: Sa-mua, Sô-báp, Na-than, Sa-lô-môn,
And Ibhar and Elishua and Nepheg and Japhia|Di-ba, Ê-li-sua, Nê-phéc, Gia-phia,
And Elishama and Eliada and Eliphelet.|Ê-li-sa-ma, Ê-li-gia-đa, và Ê-li-phê-lết.
And when the Philistines had news that David had been made king over Israel, they all went up in search of David; and David, hearing of it, went down to the strong place.|Khi dân Phi-li-tin biết Đa-vít đã chịu xức dầu làm vua Y-sơ-ra-ên rồi, thì kéo ra đặng đánh người. Đa-vít hay điều đó, bèn đi đến đồn.
And when the Philistines came, they went in every direction in the valley of Rephaim.|Dân Phi-li-tin đi đến bủa ra trong trũng Rê-pha-im.
And David, desiring directions from the Lord, said, Am I to go up against the Philistines? will you give them up into my hands? And the Lord said, Go up, for I will certainly give up the Philistines into your hands.|Bấy giờ, Đa-vít cầu vấn Đức Giê-hô-va, mà rằng: Tôi phải lên đánh dân Phi-li-tin chăng? Đức Giê-hô-va đáp cùng Đa-vít rằng: Hãy đi lên, vì hẳn ta sẽ phó dân Phi-li-tin vào tay ngươi.
And David went to Baal-perazim, and overcame them there; and he said, The Lord has let the forces fighting against me be broken before me as a wall is broken by rushing waters. So that place was named Baal-perazim.|Vậy, Đa-vít kéo đến Ba-anh-Phê-rát-sim, là nơi người đánh dân đó; và người nói rằng: Đức Giê-hô-va đã đánh vỡ các kẻ thù nghịch tôi khỏi trước mặt tôi khác nào nước chảy. Bởi cớ đó, người đặt tên chỗ nầy là Ba-anh-Phê-rát-sim.
And the Philistines, when they went in flight, did not take their images with them, and David and his men took them away.|Dân Phi-li-tin bỏ lại các thần tượng của chúng nó tại đó; Đa-vít và thủ hạ người lấy đem đi.
And the Philistines came up again, and went in every direction in the valley of Rephaim.|Dân Phi-li-tin trở lại lần thứ nhì, và bủa ra trong trũng Rê-pha-im.
And when David went for directions to the Lord, he said, You are not to go up against them in front; but make a circle round them from the back and come on them opposite the spice-trees.|Đa-vít cầu vấn Đức Giê-hô-va, Ngài đáp rằng: Ngươi chớ đi lên; hãy đi vòng phía sau chúng nó, rồi ngươi sẽ tới chúng nó về hướng cây dâu.
Then at the sound of footsteps in the tops of the trees, go forward quickly, for the Lord has gone out before you to overcome the army of the Philistines.|Và khi nào ngươi nghe tiếng bước trên ngọn cây dâu, bấy giờ hãy lật đật xông tới, vì chính trong lúc đó, Đức Giê-hô-va sẽ đi trước ngươi đặng hãm đánh đạo quân Phi-li-tin.
And David did as the Lord had said; and he overcame the Philistines, attacking them from Gibeon to near Gezer.|Đa-vít làm mọi điều Đức Giê-hô-va đã phán đặn người; người đánh đuổi dân Phi-li-tin từ Ghê-ba cho đến Ghê-xe.

					II Samuel 6				|
						II Sa-mu-ên 6					
And David got together all the fighting-men of Israel to the number of thirty thousand;|Đa-vít lại nhóm hiệp hết thảy những người kén chọn của Y-sơ-ra-ên, số chừng ba vạn người.
And David, and all the people who were with him, went to Baal of Judah to get the ark of God, over which the holy name is named, the name of the Lord of armies, whose place is between the winged ones.|Đoạn, người chỗi dậy, có và dân sự đồng theo, đi từ Ba-lê ở xứ Giu-đa đặng thỉnh hòm của Đức Chúa Trời lên; trước hòm ấy dân cầu khẩn danh Chúa, tức là chánh danh Đức Giê-hô-va vạn quân, vẫn ngự ở giữa chê-ru-bin tại trên hòm ấy.
And they put the ark of God on a new cart and took it out of the house of Abinadab which was on the hill: and Uzzah and Ahio, the sons of Abinadab, were the drivers of the cart.|Chúng để hòm của Đức Chúa Trời trên một cái xe mới, rồi đem đi khỏi nhà A-bi-na-đáp, ở tại trên gò nỗng; U-xa và A-hi-giô, con trai A-bi-na-đáp, dẫn cái xe mới đó.
