
					I Samuel 1				|
And a man of Benjamin went running from the fight and came to Shiloh the same day with his clothing out of order and earth on his head.|Một người Bên-gia-min chạy trốn khỏi giặc, đến tại Si-lô nội ngày đó, quần áo rách ra, đầu đóng bụi cát.
And when he came, Eli was seated by the wayside watching: and in his heart was fear for the ark of God. And when the man came into the town and gave the news, there was a great outcry.|Khi người ấy đến, Hê-li đương ngồi trên ghế mình tại bên mé đường, trông đợi cách áy náy; vì lòng Hê-li run sợ về hòm của Đức Chúa trời. Người ấy vào thành báo tin đó, cả thành bèn kêu la lên.
And Eli, hearing the noise and the cries, said, What is the reason of this outcry? And the man came quickly and gave the news to Eli.|Hê-li nghe tiếng là nầy thì nói: Sự ồn ào nầy là chi? Tức thì người đó lật đật báo tin cho Hê-li.
Now Eli was ninety-eight years old, and his eyes were fixed so that he was not able to see.|Vả, Hê-li đã chín mươi tám tuổi, mắt đui, không thế thấy được.
And the man said to Eli, I have come from the army and have come in flight today from the fight. And he said, How did it go, my son?|Người đó nói cùng Hê-li rằng: Tôi là người ở chiến trường đến, ngày nay tôi được thoát khỏi cơn trận. Hê-li hỏi rằng: Hỡi con, đã xảy ra làm sao.
And the man said, Israel went in flight from the Philistines, and there has been great destruction among the people, and your two sons, Hophni and Phinehas, are dead, and the ark of God has been taken.|Sứ giả tiếp rằng: Y-sơ-ra-ên đã chạy trốn trước mặt dân Phi-li-tin; dân sự bị đại bại. Lại, hai con trai của ông, là Hóp-ni và Phi-nê -a, đã chết, và hòm của Đức Chúa trời đã bị cướp lấy.
And at these words about the ark of God, Eli, falling back off his seat by the side of the doorway into the town, came down on the earth so that his neck was broken and death overtook him, for he was an old man and of great weight. He had been judging Israel for forty years.|Người vừa nói đến hòm của Đức Chúa Trời, thì Hê-li ngã ngửa xuống khỏi ghế mình ở bên phía cửa, gãy cổ và chết, vì người đã già yếu và nặng nề. Người đã làm quan xét cho Y-sơ-ra-ên trong bốn mươi năm.
And his daughter-in-law, the wife of Phinehas, was with child and near the time when she would give birth; and when she had the news that the ark of God had been taken and that her father-in-law and her husband were dead, her pains came on her suddenly and she gave birth.|Con dâu người, là vợ của Phi-nê -a, đương có thai gần đẻ; khi nàng nghe tin về việc cướp lấy hòm của Đức Chúa Trời, cùng hay rằng ông gia và chồng mình đã chết, thì thình lình bị đau đớn, khòm xuống và đẻ.
And when she was very near death the women who were with her said, Have no fear, for you have given birth to a son. But she made no answer and gave no attention to it.|Trong lúc nàng gần chết, các người đàn bà có mặt đó nói rằng: Chớ sợ chi, nàng đã sanh một con trai. Nhưng nàng không đáp lại, chẳng đếm xỉa chi các lời đó.
And she gave the child the name of Ichabod, saying, The glory has gone from Israel: because the ark of God was taken and because of her father-in-law and her husband.|Nàng đặt tên cho đứa trẻ là Y-ca-bốt, vì nàng nói rằng: Sự vinh hiển đã lìa khỏi Y-sơ-ra-ên; nàng nói ngụ ý về sự mất hòm của Đức Chúa Trời, về sự chết của ông gia và chồng mình.
And she said, The glory is gone from Israel, for the ark of God has been taken.|Nàng lại tiếp: Thật, sự vinh hiển của Y-sơ-ra-ên đã mất rồi, vì hòm của Đức Chúa Trời đã bị cướp lấy.

					I Samuel 5				|
						I Sa-mu-ên 5					
Now the Philistines, having taken the ark of God, took it with them from Eben-ezer to Ashdod.|Phi-li-tin lấy hòm của Đức Chúa Trời, đi từ Ê-bên-Ê-xe tới Ach-đốt.
They took the ark of God into the house of Dagon and put it by the side of Dagon.|Đoạn, chúng lấy hòm của Đức Chúa Trời đi vào đền Đa-gôn, để ở bên Đa-gôn.
And when the people of Ashdod got up early on the morning after, they saw that Dagon had come down to the earth on his face before the ark of the Lord. And they took Dagon up and put him in his place again.|Sáng ngày sau, dân Ach-đốt dậy sớm, thấy Đa-gôn nằm sải mặt úp xuống đất trước mặt hòm của Đức Giê-hô-va. Chúng nó bèn đem Đa-gôn đặt lại tại chỗ nó.
And when they got up early on the morning after, Dagon had come down to the earth on his face before the ark of the Lord; and his head and his hands were broken off on the doorstep; only the base was in its place.|Ngày sau chúng nó trở vào sớm, Đa-gôn lại còn té xuống đất trước hòm của Đức Giê-hô-va, đầu và hai tay đều rơi ra, nằm trên ngạch cửa, chỉ còn cái mình nó mà thôi.
So to this day no priest of Dagon, or any who come into Dagon's house, will put his foot on the doorstep of the house of Dagon in Ashdod.|Bởi cớ ấy, cho đến ngày nay, những thầy cả của Đa-gôn, và phàm người nào vào trong đền nó, đều tránh không đặt chơn trên ngạch cửa.
But the hand of the Lord was hard on the people of Ashdod and he sent disease on them through all the country of Ashdod.|Nhưng tay Đức Giê-hô-va giáng họa lớn trên dân sự Ach-đốt, dẫn sự tàn hại đến trong xứ chúng nó, lấy bịnh trĩ lậu hành hại Ach-đốt và địa phận nó.
And when the men of Ashdod saw how it was, they said, Let not the ark of the God of Israel be with us, for his hand is hard on us and on Dagon our god.|Dân Ach-đốt thấy mình như vậy, bèn kêu là rằng: Hòm của Đức Chúa Trời Y-sơ-ra-ên chớ ở nơi chúng ta, vì tay Ngài giáng họa lớn trên chúng ta và trên Đa-gôn, là thần của chúng ta.
So they sent for all the lords of the Philistines to come together there, and said, What are we to do with the ark of the God of Israel? And their answer was, Let the ark of the God of Israel be taken away to Gath. So they took the ark of the God of Israel away.|Chúng sai sứ thỉnh nhóm hết thảy quan trưởng của dân Phi-li-tin, mà hỏi rằng: Chúng ta sẽ làm sao về hòm của Đức Chúa Trời của dân Y-sơ-ra-ên? Các quan trưởng đáp: Phải đem hòm của Đức Chúa Trời của Y-sơ-ra-ên đến Gát. Người ta bèn đem hòm của Đức Chúa Trời của Y-xơ-ra-ên đến đó.
But after they had taken it away, the hand of the Lord was stretched out against the town for its destruction: and the signs of disease came out on all the men of the town, small and great.|Người ta vừa đem hòm đi, thì tay Đức Giê-hô-va bèn phạt thành ấy, khiến cho nó bị sự kinh khiếp rất lớn. Ngài hành hại dân thành đó, từ đứa nhỏ cho đến người lớn; chúng đều bị bịnh trĩ lậu phát ra.
So they sent the ark of God to Ekron. And when the ark of God came to Ekron, the people of the town made an outcry, saying, They have sent the ark of the God of Israel to us for the destruction of us and of our people.|Bấy giờ, chúng nó sai gởi hòm của Đức Chúa Trời đến Ec-rôn. Khi hòm đến, dân Ec-rôn kêu la rằng: Người ta khiêng hòm của Đức Chúa Trời của Y-sơ-ra-ên đến cùng ta đặng giết chúng ta và dân sự chúng ta!
So they sent and got together all the lords of the Philistines, and they said, Send away the ark of the God of Israel, and let it go back to its place, so that it may not be the cause of death to us and to our people: for there was a great fear of death through all the town; the hand of God was very hard on them there.|Chúng nó sai thỉnh nhóm hết thảy quan trưởng của dân Phi-li-tin, mà nói rằng: Hãy khiêng hòm của Đức Chúa Trời của Y-sơ-ra-ên đi, để nó trở về nơi cũ, và chớ làm cho chúng ta và dân sự chúng ta phải chết. Vì trong mọi thành đều có sự kinh khiếp hầu chết; tay Đức Giê-hô-va giáng họa tại đó cách dữ tợn.
And those men who were not overtaken by death were cruelly diseased: and the cry of the town went up to heaven.|Những kẻ nào không chết thì bị bịnh trĩ lậu; và tiếng kêu la của thành lên đến tận trời.

					I Samuel 6				|
						I Sa-mu-ên 6					
Now the ark of the Lord was in the country of the Philistines for seven months.|Hòm của Đức Giê-hô-va ở bảy tháng trong xứ dân Phi-li-tin.
And the Philistines sent for the priests and those who were wise in secret arts, and said to them, What are we to do with the ark of the Lord? How are we to send it away to its place?|Đoạn, dân Phi-li-tin gọi những thầy cả và thuật sĩ, mà hỏi rằng: Chúng ta phải làm chi về hòm của Đức Giê-hô-va? Hãy nói cho chúng ta biết cách nào phải trả hòm ấy về nơi cũ.
And they said, If you send away the ark of the God of Israel, do not send it without an offering, but send him a sin-offering with it: then you will have peace again, and it will be clear to you why the weight of his hand has not been lifted from you.|Chúng nó đáp; Nếu các người gởi hòm của Đức Chúa Trời của Y-sơ-ra-ên về, thì chớ gởi đi không; nhưng phải trả cho Đức Giê-hô-va của lễ chuộc lỗi, rồi các ngươi sẽ được chữa lành, và biết tại cớ sao Ngài không ngừng giáng họa trên các ngươi.
Then they said, What sin-offering are we to send to him? And they said, Five gold images of the growths caused by your disease and five gold mice, one for every lord of the Philistines: for the same disease came on you and on your lords.|Chúng nó hỏi: Của lễ chi chúng ta phải trả cho Ngài đặng chuộc lỗi? Đáp rằng: Năm cái hình trĩ lậu bằng vàng, và năm con chuột bằng vàng, theo số quan trưởng của dân Phi-li-tin, vì hết thảy các ngươi, và các quan trưởng của các ngươi đều bị đồng một tai họa.
So make images of the growths caused by your disease and of the mice which are damaging your land; and give glory to the God of Israel: it may be that the weight of his hand will be lifted from you and from your gods and from your land.|Hãy làm các hình trĩ lậu, và những hình con chuột vẫn phá xứ sở, rồi tôn vinh Đức Chúa Trời của Y-sơ-ra-ên; có lẽ Ngài sẽ nhẹ tay trên các ngươi, trên thần và xứ của các ngươi.
Why do you make your hearts hard, like the hearts of Pharaoh and the Egyptians? When he had made sport of them, did they not let the people go, and they went away?|Sao các ngươi cứng lòng như dân Ê-díp-tô và Pha-ra-ôn đã làm? Sau khi Đức Giê-hô-va đã thi hành quyền năng trên dân Ê-díp-tô, họ há chẳng để cho Y-sơ-ra-ên đi sao?.
So now, take and make ready a new cart, and two cows which have never come under the yoke, and have the cows yoked to the cart, and take their young ones away from them:|Hè, hãy đóng một cái xe mới, và bắt hai con bò cái còn cho bú, chưa mang ách, thắng nó vào xe, rồi dẫn các con nhỏ chúng nó vào chuồng.
