
					II Chronicles 1				|
So now, O Lord, the God of Israel, let your word to your servant David, my father, come true, when you said, You will never be without a man to take his place before me on the seat of the kingdom of Israel; if only your children give attention to their ways, walking in my law, as you have done before me.|Vậy, Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên ôi! Chúa đã hứa cùng tôi tớ Chúa là Đa-vít, cha tôi, rằng: Ví bằng con cháu ngươi cẩn thận đường lối mình, giữ theo các luật pháp ta, y như ngươi đã làm, thì trước mặt ta ngươi sẽ chẳng hề thiếu người ngồi trên ngôi Y-sơ-ra-ên; nay cầu xin Chúa hãy giữ gìn lời hứa ấy.
So now, O Lord, the God of Israel, make your word come true which you said to your servant David.|Hỡi Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên! nguyện lời Chúa đã hứa cùng Đa-vít, tôi tớ Chúa, được ứng nghiệm.
But is it truly possible that God may be housed with men on earth? see, heaven and the heaven of heavens are not wide enough to be your resting-place: how much less this house which I have made:|Mà chi! Có thật rằng Đức Chúa Trời ngự chung với loài người ở trên đất ư? Kìa trời, cho đến đỗi trời của các từng trời còn chẳng có thế chứa Chúa được thay, phương chi cái đền nầy tôi đã cất!
Still, let your heart be turned to the prayer of your servant and to his prayer for grace, O Lord my God, and give ear to the cry and the prayer which your servant makes before you;|Dầu vậy, hỡi Giê-hô-va Đức Chúa Trời tôi ôi! xin hãy đoái thương lời cầu nguyện và sự nài xin của tôi tớ Chúa, nghe tiếng kêu cầu và khẩn nguyện của tôi tớ Chúa cầu trước mặt Chúa.
That your eyes may be open to this house day and night, to this place of which you have said that you would put your name there; to give ear to the prayer which your servant may make, turning to this place.|Nguyện mắt Chúa ngày và đêm đoái xem nhà này, vì về nhà này Chúa đã phán rằng: sẽ đặt danh Chúa tại đó. Khi tôi tớ Chúa hướng nơi này mà cầu nguyện, xin Chúa dủ nghe.
And give ear to the prayers of your servant and of your people Israel, when they make their prayers, turning to this place; give ear from heaven your living-place; and hearing have mercy.|Phàm điều gì tôi tớ Chúa và dân Y-sơ-ra-ên sẽ cầu khẩn trong khi hướng về nơi này, xin Chúa hãy dủ nghe, nhậm lời, và tha thứ cho.
If a man does wrong to his neighbour and has to take an oath, and comes before your altar to take his oath in this house:|Nếu ai phạm tội cùng kẻ lân cận mình, và người ta bắt nó phải thề, nếu nó đến thề ở trước bàn thờ của Chúa tại trong đền này,
Then let your ear be open in heaven, and be the judge of your servants, giving punishment to the wrongdoer, so that his sin may come on his head; and, by your decision, keeping from evil him who has done no wrong.|thì xin Chúa từ trên trời hãy nghe, thi hành, và xét đoán tôi tớ Chúa, mà báo trả kẻ ác tùy việc nó làm, khiến tội nó đổ lại trên đầu nó, xưng công bình cho người công bình, và thưởng người tùy sự công bình của người.
And if your people Israel are overcome in war, because of their sin against you; if they are turned to you again, honouring your name, making prayers and requesting your grace in this house:|Nếu dân Y-sơ-re-ên của Chúa, vì phạm tội với Chúa, bị quân thù nghịch đánh được, mà chúng trở lại cùng Chúa, nhận biết danh Ngài, và cầu nguyện nài xin trước mặt Chúa trong đền này,
Then give ear from heaven, and let the sin of your people Israel have forgiveness, and take them back again to the land which you gave to them and to their fathers.|thì xin Chúa từ trên trời hãy dủ nghe, tha tội cho dân Y-sơ-ra-ên của Chúa, và khiến họ trở về xứ mà Chúa đã ban cho họ và cho tổ phụ của họ.
When heaven is shut up and there is no rain, because of their sin against you: if they make prayers with their faces turned to this place, honouring your name and turning away from their sin when you send trouble on them:|Khi các từng trời đóng chặt, không có mưa, bởi vì dân Y-sơ-ra-ên đã phạm tội với Chúa; nếu sau khi Chúa đã đoán phạt họ, họ hướng về nơi này mà cầu nguyện, nhận biết danh Chúa, trở bỏ tội lỗi mình,
Then give ear from heaven, so that the sin of your servants and the sin of your people Israel may have forgiveness, when you make clear to them the good way in which they are to go; and send rain on your land which you have given to your people for their heritage.|thì xin Chúa ở trên trời hãy dủ nghe, tha tội cho kẻ tôi tớ Chúa và cho dân Y-sơ-ra-ên của Ngài, khi Ngài đã dạy cho chúng con đường lành mà chúng phải đi theo, và giáng mưa xuống trên đất mà Chúa đã ban cho dân Ngài làm sản nghiệp.
If there is no food in the land, if there is disease, if the fruits of the earth are damaged by heat or water, locust or worm; if their towns are shut in by their attackers: whatever trouble or whatever disease there may be:|Nếu trong xứ có cơn đói kém, ôn dịch, đại hạn, ten sét, cào cào, hay là châu chấu; hoặc kẻ thù nghịch vây hãm các thành trong địa phận họ; bất kỳ có tai vạ gì, tật bịnh gì;
Whatever prayer or request for your grace is made by any man, or by all your people Israel, whatever his trouble may be, whose hands are stretched out to this house:|ví bằng có một người, hoặc cả dân Y-sơ-ra-ên của Chúa đã nhận biết tai vạ và sự đau đớn của mình, mà giơ tay ra hướng về nhà này, cầu nguyện và khẩn xin vô luận điều gì,
Then give ear from heaven your living-place, answering with forgiveness, and give to every man, whose secret heart is open to you, the reward of all his ways; (for you, and you only, have knowledge of the hearts of the children of men;)|thì xin Chúa từ trên trời, là nơi ngự của Chúa, hãy dủ nghe, tha thứ cho, và báo lại cho mỗi người tùy theo công việc họ, vì Chúa thông biết lòng của họ ;
So that they may give you worship, walking in your ways, as long as they are living in the land which you gave to our fathers.|để khiến chúng kính sợ Chúa, đi theo đường lối của Chúa trọn đời chúng sống ở trên đất mà Chúa đã ban cho tổ phụ chúng tôi.
And as for the man from a strange land, who is not of your people Israel but comes from a far country because of the glory of your name and your strong hand and your outstretched arm; when he comes to make his prayer, turning to this house:|Vả lại, về người ngoại bang là người chẳng thuộc về dân Y-sơ-ra-ên của Chúa, nhưng vì danh lớn Chúa, vì cánh tay quyền năng giơ thẳng ra của Ngài, họ sẽ từ xứ xa đi đến hướng về đền này mà cầu nguyện,
Then give ear from heaven your living-place, and give him his desire, whatever it may be; so that all the peoples of the earth may have knowledge of your name, worshipping you as do your people Israel, and may see that this house which I have made is truly named by your name.|thì xin Chúa từ trên trời, là nơi ngự của Chúa; hầu cho muôn dân trên đất nhận biết danh Chúa, kính sợ Ngài như dân Y-sơ-ra-ên của Chúa, và biết rằng cái đền này mà tôi đã xây cất, được gọi bằng danh Chúa.
If your people go out to war against their attackers, by whatever way you may send them, if they make their prayers to you turning their faces to this town of yours and to this house which I have put up for your name:|Khi dân sự Chúa ra chiến tranh với kẻ thù nghịch mình, theo đường nào mà Chúa sẽ sai đi, nếu chúng cầu nguyện cùng Chúa, xây về hướng thành nầy mà Chúa đã chọn, và về đền nầy mà tôi đã xây cất cho danh Chúa,
Then give ear from heaven to their prayer and their cry for grace, and see right done to them.|thì xin Chúa từ trên trời hãy dủ nghe lời cầu nguyện nài xin của chúng, và binh vực cho họ.
If they do wrong against you, (for no man is without sin,) and you are angry with them, and give them up into the power of those who are fighting against them, so that they take them away prisoners to a land far off or near;|Nếu dân Y-sơ-ra-ên phạm tội với Chúa , và Chúa nổi giận, phó chúng cho kẻ thù nghịch, và kẻ thù nghịch bắt họ làm phu tù dẫn đến xứ xa hay gần;
And if they take thought, in the land where they are prisoners, turning again to you, crying out in prayer to you in that land, and saying, We are sinners, we have done wrong, we have done evil;|nếu trong xứ mà họ bị dẫn đến làm phu tù, họ suy nghĩ lại, ăn năn, và cầu khẩn Chúa, mà rằng: Chúng tôi có phạm tội, làm điều gian ác và cư xử cách dữ tợn,
If with all their heart and soul they are turned again to you, in the land where they are prisoners, the land where they have been taken, and make their prayers, turning their eyes to their land which you gave to their fathers, and to the town which you took for yourself, and the house which I have made for your name:|nếu tại trong xứ mà kẻ thù nghịch đã dẫn họ đến làm phu tù, họ hết lòng hết ý trở lại cùng Chúa, cầu nguyện cùng Ngài hướng về xứ mà Chúa đã ban cho tổ phụ họ, về thành Chúa đã chọn, và về đền mà tôi đã xây cất cho danh Chúa,
Then give ear from heaven your living-place to their prayer and their cry, and see right done to them, answering with forgiveness your people who have done wrong against you.|thì xin Chúa từ trên trời, là nơi ngự của Chúa, hãy dủ nghe lời cầu nguyện nài xin của chúng, binh vực họ, và tha thứ tội mà dân sự của Chúa đã phạm cùng Ngài.
