
					Exodus 1				|
Give these men no more dry stems for their brick-making as you have been doing; let them go and get the material for themselves.|Các ngươi đừng phát rơm cho dân sự làm gạch như lúc trước nữa; chúng nó phải tự đi kiếm góp lấy.
But see that they make the same number of bricks as before, and no less: for they have no love for work; and so they are crying out and saying, Let us go and make an offering to our God.|Nhưng các ngươi hãy hạn số gạch y như cũ, chớ trừ bớt chi cả; vì họ biếng nhác, lấy cớ mà đồng kêu lên rằng: Hè! đi dâng tế lễ cho Đức Chúa Trời chúng ta!
Give the men harder work, and see that they do it; let them not give attention to false words.|Hãy gán công việc nặng cho chúng nó, hầu cho chúng nó mắc công việc, chẳng xiêu về lời giả dối nữa.
And the overseers of the people and their responsible men went out and said to the people, Pharaoh says, I will give you no more dry stems.|Các đốc dịch và phái viên bèn ra, nói cùng dân chúng rằng: Pha-ra-ôn có phán như vầy: Ta chẳng cho các ngươi rơm nữa.
Go yourselves and get dry stems wherever you are able; for your work is not to be any less.|Hãy tự đi kiếm lấy rơm ở đâu đi; song chẳng trừ bớt công việc các ngươi chút nào.
So the people were sent in all directions through the land of Egypt to get dry grass for stems.|Bấy giờ, dân chúng bèn đi rải khắp xứ Ê-díp-tô, đặng góp gốc rạ thế cho rơm.
And the overseers went on driving them and saying, Do your full day's work as before when there were dry stems for you.|Các đốc dịch lại hối rằng: Hãy làm cho xong phần việc các ngươi, y cố định, ngày nào cho rồi ngày nấy, cũng như khi có phát rơm.
And the responsible men of the children of Israel, whom Pharaoh's overseers had put over them, were given blows, and they said to them, Why have you not done your regular work, in making bricks as before?|Những phái viên trong vòng dân Y-sơ-ra-ên mà các đốc dịch của Pha-ra-ôn đã lập lên trên dân đó, bị đánh và quở rằng: Sao hôm qua và ngày nay, các ngươi chẳng làm xong phần định về việc mình làm gạch y như trước?
Then the responsible men of the children of Israel came to Pharaoh, protesting and saying, Why are you acting in this way to your servants?|Các phái viên của dân Y-sơ-ra-ên bèn đến kêu cùng Pha-ra-ôn rằng: Sao bệ hạ đãi kẻ tôi tớ như vậy?
They give us no dry stems and they say to us, Make bricks: and they give your servants blows; but it is your people who are in the wrong.|Người ta chẳng phát rơm cho, lại cứ biểu chúng tôi rằng: Hãy làm gạch đi! Nầy tôi tớ của bệ hạ đây bị đòn; lỗi tại dân của bệ hạ.
But he said, You have no love for work: that is why you say, Let us go and make an offering to the Lord.|Nhưng vua đáp rằng: Các ngươi là đồ biếng nhác, đồ biếng nhác! Bởi cớ đó nên nói với nhau rằng: Hè! đi tế Đức Giê-hô-va!
Go now, get back to your work; no dry stems will be given to you, but you are to make the full number of bricks.|Vậy bây giờ, cứ đi làm việc đi, người ta chẳng phát rơm cho đâu, nhưng các ngươi phải nộp gạch cho đủ số.
Then the responsible men of the children of Israel saw that they were purposing evil when they said, The number of bricks which you have to make every day will be no less than before.|Vậy, các phái viên của dân Y-sơ-ra-ên lấy làm bối rối, vì người ta có nói cùng mình rằng: Các ngươi chẳng được trừ số gạch đã định cho mình ngày nào rồi ngày nấy.
And they came face to face with Moses and Aaron, who were in their way when they came out from Pharaoh:|Khi lui ra khỏi Pha-ra-ôn thì họ gặp Môi-se và A-rôn đợi tại đó,
And they said to them, May the Lord take note of you and be your judge; for you have given Pharaoh and his servants a bad opinion of us, putting a sword in their hands for our destruction.|bèn nói rằng: Hai ngươi đã làm cho chúng tôi ra mùi hôi hám trước mặt Pha-ra-ôn và quần thần, mà trao thanh gươm vào tay họ đặng giết chúng tôi. Cầu xin Đức Giê-hô-va xem xét và xử đoán hai ngươi!
And Moses went back to the Lord and said, Lord, why have you done evil to this people? why have you sent me?|Môi-se bèn trở về cùng Đức Giê-hô-va mà thưa rằng: Lạy Chúa! sao Chúa đã làm hại cho dân sự nầy? Chúa sai tôi đến mà chi?
For from the time when I came to Pharaoh to put your words before him, he has done evil to this people, and you have given them no help.|Từ khi tôi đi yết kiến Pha-ra-ôn đặng nhân danh Chúa mà nói, thì người lại ngược đãi dân nầy, và Chúa chẳng giải cứu dân của Chúa.

					Exodus 6				|
						Xuất Hành 6					
And the Lord said to Moses, Now you will see what I am about to do to Pharaoh; for by a strong hand he will be forced to let them go, driving them out of his land because of my outstretched arm.|Đức Giê-hô-va phán cùng Môi-se rằng: Bây giờ ngươi hãy xem những điều ta sẽ hành Pha-ra-ôn; vì nhờ tay quyền năng ép buộc vua đó sẽ tha và đuổi dân Y-sơ-ra-ên ra khỏi xứ mình.
And God said to Moses, I am Yahweh:|Đức Chúa Trời lại phán cùng Môi-se rằng: Ta là Đức Giê-hô-va.
I let myself be seen by Abraham, Isaac, and Jacob, as God, the Ruler of all; but they had no knowledge of my name Yahweh.|Ta đã hiện ra cùng Ap-ra-ham, cùng Y-sác, và cùng Gia-cốp, tỏ mình là Đức Chúa Trời toàn năng; song về danh ta là Giê-hô-va, thì ta chưa hề tỏ cho họ biết.
And I made an agreement with them, to give them the land of Canaan, the land of their wanderings.|Ta cũng có lập giao ước cùng họ, để ban xứ Ca-na-an cho, là xứ họ đã kiều ngụ như khách ngoại bang.
And truly my ears are open to the cry of the children of Israel whom the Egyptians keep under their yoke; and I have kept in mind my agreement.|Ta cũng có nghe lời than thở của dân Y-sơ-ra-ên bị người Ê-díp-tô bắt làm tôi mọi, bèn nhớ lại sự giao ước của ta.
Say then to the children of Israel, I am Yahweh, and I will take you out from under the yoke of the Egyptians, and make you safe from their power, and will make you free by the strength of my arm after great punishments.|Vậy nên, ngươi hãy nói cùng dân Y-sơ-ra-ên rằng: Ta là Đức Giê-hô-va sẽ rút các ngươi khỏi gánh nặng mà người Ê-díp-tô đã gán cho, cùng giải thoát khỏi vòng tôi mọi; ta sẽ giơ thẳng tay ra, dùng sự đoán phạt nặng mà chuộc các ngươi.
And I will take you to be my people and I will be your God; and you will be certain that I am the Lord your God, who takes you out from under the yoke of the Egyptians.|Ta sẽ nhận các ngươi làm dân ta, và ta sẽ làm Đức Chúa Trời của các ngươi; các ngươi sẽ biết ta là Giê-hô-va Đức Chúa Trời của các ngươi, đã rút các ngươi khỏi gánh nặng của người Ê-díp-tô.
And I will be your guide into the land which I made an oath to give to Abraham, to Isaac, and to Jacob; and I will give it to you for your heritage: I am Yahweh.|Ta sẽ dắt các ngươi vào xứ ta đã thề ban cho Ap-ra-ham, cho Y-sác, cho Gia-cốp, mà cho các ngươi xứ đó làm cơ nghiệp: Ta là Đức Giê-hô-va.
And Moses said these words to the children of Israel, but they gave no attention to him, because of the grief of their spirit and the cruel weight of their work.|Môi-se nói lại như vậy cho dân Y-sơ-ra-ên; nhưng vì bị sầu não và việc tôi mọi nặng nề, nên chẳng nghe Môi-se chút nào.
And the Lord said to Moses,|Đức Giê-hô-va bèn phán cùng Môi-se rằng:
Go in and say to Pharaoh, king of Egypt, that he is to let the children of Israel go out of his land.|Hãy đi tâu cùng Pha-ra-ôn, vua xứ Ê-díp-tô, phải cho dân Y-sơ-ra-ên ra khỏi xứ mình.
And Moses, answering the Lord, said, See, the children of Israel will not give ear to me; how then will Pharaoh give ear to me, whose lips are unclean?|Nhưng Môi-se thưa cùng Đức Giê-hô-va rằng: Nầy, tôi là một kẻ vụng miệng; dân Y-sơ-ra-ên chẳng có nghe lời tôi, Pha-ra-ôn há sẽ khứng nghe lời tôi sao?
And the word of the Lord came to Moses and Aaron, with orders for the children of Israel and for Pharaoh, king of Egypt, to take the children of Israel out of the land of Egypt.|Đức Giê-hô-va lại phán cùng Môi-se và A-rôn, bèn truyền cho hai người phải đi đến dân Y-sơ-ra-ên và Pha-ra-ôn, vua xứ Ê-díp-tô, đặng đem dân đó ra khỏi xứ Ê-díp-tô.
These are the heads of their fathers' families: the sons of Reuben the oldest son of Israel: Hanoch and Pallu, Hezron and Carmi: these are the families of Reuben.|Đây là các trưởng tộc của những họ hàng dân Y-sơ-ra-ên. Các con trai của Ru-bên, tức là trưởng nam Y-sơ-ra-ên, là: Hê-nóc, Pha-lu, Hết-rôn và Cạt-mi. Đó là những họ hàng của Ru-bên.
And the sons of Simeon: Jemuel and Jamin and Ohad and Jachin and Zohar and Shaul, the son of a woman of Canaan: these are the families of Simeon.|Các con trai của Si-mê-ôn là: Giê-mu-ên, Gia-min, Ô-hát, Gia-kin, Xô-ha và Sau-lơ là con của vợ xứ Ca-na-an. Đó là họ hàng của Si-mê-ôn.
And these are the names of the sons of Levi in the order of their generations: Gershon and Kohath and Merari: and the years of Levi's life were a hundred and thirty-seven.|Đây là tên các con trai của Lê-vi, tùy theo dòng dõi của họ: Ghẹt-sôn, Kê-hát, và Mê-ra-ri. Lê-vi hưởng thọ được một trăm ba mươi bảy tuổi.
The sons of Gershon: Libni and Shimei, in the order of their families.|Các con trai của Ghẹt-sôn, tùy theo họ hàng mình: Líp-ni và Si-mê -y.
And the sons of Kohath: Amram and Izhar and Hebron and Uzziel: and the years of Kohath's life were a hundred and thirty-three.|Các con trai của Kê-hát là: Am-ram, Dít-sê-ha, Hếp-rôn, và U-xi-ên. Kê-hát hưởng thọ được một trăm ba mươi ba tuổi.
And the sons of Merari: Mahli and Mushi: these are the families of the Levites, in the order of their generations.|Các con trai của Mê-ra-ri là: Mách-li, và Mu-si. Đó là các họ hàng của Lê-vi, tùy theo dòng dõi của họ.
And Amram took Jochebed, his father's sister, as wife; and she gave birth to Aaron and Moses: and the years of Amram's life were a hundred and thirty-seven.|Vả, Am-ram lấy Giô-kê-bết, là cô mình, làm vợ; nàng sanh cho người A-rôn và Môi-se. Am-ram hưởng thọ được một trăm ba mươi bảy tuổi.
And the sons of Izhar: Korah and Nepheg and Zichri.|Các con trai của Dít-sê-ha là: Cô-rê, Nê-phết và Xiếc-ri.
And the sons of Uzziel: Mishael and Elzaphan and Sithri.|Các con trai của U-xi-ên là: Mi-sa-ên, En-sa-phan, và Sít-ri.
And Aaron took as his wife Elisheba, the daughter of Amminadab, the sister of Nahshon; and she gave birth to Nadab and Abihu, Eleazar and Ithamar.|A-rôn cưới Ê-li-sê-ba, con gái của A-mi-na-đáp, em của Na-ha-sôn; nàng sanh cho người Na-đáp, A-bi-hu, Ê-lê -a-sa và Y-tha-ma.
And the sons of Korah: Assir and Elkanah and Abiasaph: these are the families of the Korahites.|Các con trai của Cô-rê là: At-si, En-ca-na và A-bi -a-sáp. Đó là các họ hàng của dân Cô-rê.
