
					I Sa-mu-ên 1				|
Bởi cớ đó, ta thề cùng nhà Hê-li rằng tội phạm của nhà ấy sẽ chẳng hề chuộc được, hoặc bởi hi sinh hay là bởi của lễ chay.|所 以 我 向 以 利 家 起 誓 說 、 以 利 家 的 罪 孽 、 雖 獻 祭 奉 禮 物 、 永 不 能 得 贖 去 。
Sa-mu-ên nằm ngủ cho đến sáng, đoạn mở các cửa đền của Đức Giê-hô-va. Người sợ không dám thuật sự hiện thấy nầy cho Hê-li.|撒 母 耳 睡 到 天 亮 、 就 開 了 耶 和 華 的 殿 門 、 不 敢 將 默 示 告 訴 以 利 。
Nhưng Hê-li gọi Sa-mu-ên mà rằng; Sa-mu-ên, hỡi con! Người thưa: Có tôi đây.|以 利 呼 喚 撒 母 耳 說 、 我 兒 撒 母 耳 阿 、 撒 母 耳 回 答 說 、 我 在 這 裡 。
Hê-li nói: Đức Giê-hô-va có phán cùng con lời gì? Xin con đừng giấu chi cùng ta hết. Nếu con giấu một thí chi trong mọi điều Đức Giê-hô-va đã phán cùng con, nguyện Đức Chúa Trời phạt con nặng nề.|以 利 說 、 耶 和 華 對 你 說 甚 麼 、 你 不 要 向 我 隱 瞞 ． 你 若 將 　 神 對 你 所 說 的 隱 瞞 一 句 、 願 他 重 重 的 降 罰 與 你 。
Sa-mu-ên bèn thuật lại hết, chẳng giấu gì với người. Hê-li đáp rằng: Ay là Đức Giê-hô-va, nguyện Ngài làm điều đẹp ý Ngài!|撒 母 耳 就 把 一 切 話 都 告 訴 了 以 利 、 並 沒 有 隱 瞞 ． 以 利 說 、 這 是 出 於 耶 和 華 、 願 他 憑 自 己 的 意 旨 而 行 。
Sa-mu-ên trở nên khôn lớn, Đức Giê-hô-va ở cùng người: Ngài chẳng để một lời nào của người ra hư.|撒 母 耳 長 大 了 、 耶 和 華 與 他 同 在 、 使 他 所 說 的 話 、 一 句 都 不 落 空 。
Từ Đan cho đến Bê -e-sê-ba, cả Y-sơ-ra-ên đều biết rằng Sa-mu-ên được lập làm tiên tri của Đức Giê-hô-va.|從 但 到 別 是 巴 所 有 的 以 色 列 人 、 都 知 道 耶 和 華 立 撒 母 耳 為 先 知 。
Đức Giê-hô-va cứ hiện ra tại Si-lô, vì ấy tại Si-lô mà Đức Giê-hô-va hiện ra cùng Sa-mu-ên, khiến cho người biết lời của Ngài.|耶 和 華 又 在 示 羅 顯 現 、 因 為 耶 和 華 將 自 己 的 話 默 示 撒 母 耳 、 撒 母 耳 就 把 這 話 傳 遍 以 色 列 地 。

					I Sa-mu-ên 4				|
						撒母耳記上 4					
Lời của Sa-mu-ên được rao truyền cho cả Y-sơ-ra-ên. Y-sơ-ra-ên ra trận đón những người Phi-li-tin, và đóng trại gần Ê-bên-Ê-xe, còn người Phi-li-tin đóng trại tại A-phéc.|以 色 列 人 出 去 與 非 利 士 人 打 仗 、 安 營 在 以 便 以 謝 、 非 利 士 人 安 營 在 亞 弗 。
Dân Phi-li-tin dàn trận đánh Y-sơ-ra-ên; lúc giáp trận, Y-sơ-ra-ên bị dân Phi-li-tin đánh bại và giết tại chiến trường ước bốn ngàn người.|非 利 士 人 向 以 色 列 人 擺 陣 ． 兩 軍 交 戰 的 時 候 、 以 色 列 人 敗 在 非 利 士 人 面 前 、 非 利 士 人 在 戰 場 上 殺 了 他 們 的 軍 兵 、 約 有 四 千 人 。
Khi dân sự đã trở về trại quân, các trưởng lão Y-sơ-ra-ên nói rằng: Cớ sao ngày nay Đức Giê-hô-va để cho dân Phi-li-tin đánh bại chúng ta? Chúng ta hãy đi thỉnh hòm giao ước của Đức Giê-hô-va ở tại Si-lô; phải đem hòm đó về tại giữa chúng ta, nó ắt sẽ giải cứu chúng ta khỏi tay kẻ cừu địch chúng ta!|百 姓 回 到 營 裡 、 以 色 列 的 長 老 說 、 耶 和 華 今 日 為 何 使 我 們 敗 在 非 利 士 人 面 前 呢 ． 我 們 不 如 將 耶 和 華 的 約 櫃 、 從 示 羅 抬 到 我 們 這 裡 來 、 好 在 我 們 中 間 救 我 們 脫 離 敵 人 的 手 。
Vậy dân sự bèn sai những sứ giả đến Si-lô, từ đó đem về hòm giao ước của Đức Giê-hô-va vạn quân, là Đấng ngự giữa các Chê-ru-bin. Hai con trai của Hê-li, là Hóp-ni và Phi-nê -a, đều đi theo hòm giao ước của Đức Chúa Trời.|於 是 百 姓 打 發 人 到 示 羅 、 從 那 裡 將 坐 在 二 ? ? ? 上 萬 軍 之 耶 和 華 的 約 櫃 抬 來 ． 以 利 的 兩 個 兒 子 何 弗 尼 、 非 尼 哈 、 與 　 神 的 約 櫃 同 來 。
Khi hòm giao ước của Đức Giê-hô-va vào trại quân, cả Y-sơ-ra-ên đều reo tiếng vui mừng lớn, đến đỗi đất phải rúng động.|耶 和 華 的 約 櫃 到 了 營 中 、 以 色 列 眾 人 就 大 聲 歡 呼 、 地 便 震 動 。
Khi dân Phi-li-tin nghe tiếng ấy, bèn hỏi rằng: Tiếng reo mừng lớn trong trại quân Hê-bơ-rơ có nghĩa chi? Thì có người thuật lại cho chúng hay rằng hòm giao ước của Đức Giê-hô-va đã đến trong trại quân.|非 利 士 人 聽 見 歡 呼 的 聲 音 、 就 說 、 在 希 伯 來 人 營 裡 大 聲 歡 呼 、 是 甚 麼 緣 故 呢 ． 隨 後 就 知 道 耶 和 華 的 約 櫃 到 了 營 中 。
Dân Phi-li-tin bèn sợ, vì nói rằng: Đức chúa Trời đã ngự đến trong trại quân. Rồi la rằng: Khốn nạn cho chúng ta thay! Khi trước chẳng hề có xảy ra như vậy!|非 利 士 人 就 懼 怕 起 來 、 說 、 有 神 到 了 他 們 營 中 ． 又 說 、 我 們 有 禍 了 ． 向 來 不 曾 有 這 樣 的 事 。
Khốn nạn cho chúng ta thay! Ai sẽ giải cứu chúng ta khỏi tay các thần quyền năng dường kia? Ay là các thần đó đã hành hại dân Ê-díp-tô đủ các thứ tai vạ tại trong đồng vắng.|我 們 有 禍 了 、 誰 能 救 我 們 脫 離 這 些 大 能 之 神 的 手 呢 ． 從 前 在 曠 野 用 各 樣 災 殃 擊 打 埃 及 人 的 、 就 是 這 些 神 。
Hỡi người Phi-li-tin, hãy mạnh bạo, hãy nên mặt trượng phu! Kẻo các ngươi trở làm tôi mọi dân Hê-bơ-rơ, như họ đã làm tôi mọi các ngươi chăng! Khá nên mặt trượng phu và chiến đấu đi!|非 利 士 人 哪 、 你 們 要 剛 強 、 要 作 大 丈 夫 、 免 得 作 希 伯 來 人 的 奴 僕 、 如 同 他 們 作 你 們 的 奴 僕 一 樣 ． 你 們 要 作 大 丈 夫 與 他 們 爭 戰 。
Vậy, dân Phi-li-tin chiến đấu, và Y-sơ-ra-ên bị bại, mỗi người chạy trốn về trại mình. Ay là một sự bại trận lớn lắm; ba vạn lính bộ trong Y-sơ-ra-ên bị ngã chết.|非 利 士 人 和 以 色 列 人 打 仗 ． 以 色 列 人 敗 了 、 各 向 各 家 奔 逃 ． 被 殺 的 人 甚 多 、 以 色 列 的 步 兵 仆 倒 了 三 萬 。
Hòm của Đức Chúa Trời bị cướp lấy, còn hai con trai Hê-li, là Hóp-ni và Phi-nê -a, đều chết.|　 神 的 約 櫃 被 擄 去 ． 以 利 的 兩 個 兒 子 何 弗 尼 、 非 尼 哈 、 也 都 被 殺 了 。
Một người Bên-gia-min chạy trốn khỏi giặc, đến tại Si-lô nội ngày đó, quần áo rách ra, đầu đóng bụi cát.|當 日 有 一 個 便 雅 憫 人 從 陣 上 逃 跑 、 衣 服 撕 裂 、 頭 蒙 灰 塵 、 來 到 示 羅 。
Khi người ấy đến, Hê-li đương ngồi trên ghế mình tại bên mé đường, trông đợi cách áy náy; vì lòng Hê-li run sợ về hòm của Đức Chúa trời. Người ấy vào thành báo tin đó, cả thành bèn kêu la lên.|到 了 的 時 候 、 以 利 正 在 道 旁 坐 在 自 己 的 位 上 觀 望 、 為 　 神 的 約 櫃 心 裡 擔 憂 ． 那 人 進 城 報 信 、 合 城 的 人 就 都 呼 喊 起 來 。
Hê-li nghe tiếng là nầy thì nói: Sự ồn ào nầy là chi? Tức thì người đó lật đật báo tin cho Hê-li.|以 利 聽 見 呼 喊 的 聲 音 就 問 說 、 這 喧 嚷 是 甚 麼 緣 故 呢 ． 那 人 急 忙 來 報 信 給 以 利 。
Vả, Hê-li đã chín mươi tám tuổi, mắt đui, không thế thấy được.|那 時 以 利 九 十 八 歲 了 、 眼 目 發 直 、 不 能 看 見 。
Người đó nói cùng Hê-li rằng: Tôi là người ở chiến trường đến, ngày nay tôi được thoát khỏi cơn trận. Hê-li hỏi rằng: Hỡi con, đã xảy ra làm sao.|那 人 對 以 利 說 、 我 是 從 陣 上 來 的 、 今 日 我 從 陣 上 逃 回 ． 以 利 說 、 我 兒 、 事 情 怎 樣 。
Sứ giả tiếp rằng: Y-sơ-ra-ên đã chạy trốn trước mặt dân Phi-li-tin; dân sự bị đại bại. Lại, hai con trai của ông, là Hóp-ni và Phi-nê -a, đã chết, và hòm của Đức Chúa trời đã bị cướp lấy.|報 信 的 回 答 說 、 以 色 列 人 在 非 利 士 人 面 前 逃 跑 、 民 中 被 殺 的 甚 多 ． 你 的 兩 個 兒 子 何 弗 尼 、 非 尼 哈 也 都 死 了 、 並 且 　 神 的 約 櫃 被 擄 去 。
Người vừa nói đến hòm của Đức Chúa Trời, thì Hê-li ngã ngửa xuống khỏi ghế mình ở bên phía cửa, gãy cổ và chết, vì người đã già yếu và nặng nề. Người đã làm quan xét cho Y-sơ-ra-ên trong bốn mươi năm.|他 一 題 　 神 的 約 櫃 、 以 利 就 從 他 的 位 上 往 後 跌 倒 、 在 門 旁 折 斷 頸 項 而 死 、 因 為 他 年 紀 老 邁 、 身 體 沉 重 。 以 利 作 以 色 列 的 士 師 四 十 年 。
Con dâu người, là vợ của Phi-nê -a, đương có thai gần đẻ; khi nàng nghe tin về việc cướp lấy hòm của Đức Chúa Trời, cùng hay rằng ông gia và chồng mình đã chết, thì thình lình bị đau đớn, khòm xuống và đẻ.|以 利 的 兒 婦 非 尼 哈 的 妻 懷 孕 將 到 產 期 、 他 聽 見 　 神 的 約 櫃 被 擄 去 、 公 公 和 丈 夫 都 死 了 、 就 猛 然 疼 痛 、 曲 身 生 產 。
Trong lúc nàng gần chết, các người đàn bà có mặt đó nói rằng: Chớ sợ chi, nàng đã sanh một con trai. Nhưng nàng không đáp lại, chẳng đếm xỉa chi các lời đó.|將 要 死 的 時 候 、 旁 邊 站 著 的 婦 人 們 對 他 說 、 不 要 怕 、 你 生 了 男 孩 子 了 ． 他 卻 不 回 答 、 也 不 放 在 心 上 。
Nàng đặt tên cho đứa trẻ là Y-ca-bốt, vì nàng nói rằng: Sự vinh hiển đã lìa khỏi Y-sơ-ra-ên; nàng nói ngụ ý về sự mất hòm của Đức Chúa Trời, về sự chết của ông gia và chồng mình.|他 給 孩 子 起 名 叫 以 迦 博 、 說 、 榮 耀 離 開 以 色 列 了 ． 這 是 因 　 神 的 約 櫃 被 擄 去 、 又 因 他 公 公 和 丈 夫 都 死 了 。
Nàng lại tiếp: Thật, sự vinh hiển của Y-sơ-ra-ên đã mất rồi, vì hòm của Đức Chúa Trời đã bị cướp lấy.|他 又 說 、 榮 耀 離 開 以 色 列 、 因 為 　 神 的 約 櫃 被 擄 去 了 。

					I Sa-mu-ên 5				|
						撒母耳記上 5					
Phi-li-tin lấy hòm của Đức Chúa Trời, đi từ Ê-bên-Ê-xe tới Ach-đốt.|非 利 士 人 將 　 神 的 約 櫃 從 以 便 以 謝 抬 到 亞 實 突 。
Đoạn, chúng lấy hòm của Đức Chúa Trời đi vào đền Đa-gôn, để ở bên Đa-gôn.|非 利 士 人 將 　 神 的 約 櫃 抬 進 大 袞 廟 、 放 在 大 袞 的 旁 邊 。
Sáng ngày sau, dân Ach-đốt dậy sớm, thấy Đa-gôn nằm sải mặt úp xuống đất trước mặt hòm của Đức Giê-hô-va. Chúng nó bèn đem Đa-gôn đặt lại tại chỗ nó.|次 日 清 早 亞 實 突 人 起 來 、 見 大 袞 仆 倒 在 耶 和 華 的 約 櫃 前 、 臉 伏 於 的 、 就 把 大 袞 仍 立 在 原 處 。
Ngày sau chúng nó trở vào sớm, Đa-gôn lại còn té xuống đất trước hòm của Đức Giê-hô-va, đầu và hai tay đều rơi ra, nằm trên ngạch cửa, chỉ còn cái mình nó mà thôi.|又 次 日 清 早 起 來 、 見 大 袞 仆 倒 在 耶 和 華 的 約 櫃 前 、 臉 伏 於 地 、 並 且 大 袞 的 頭 和 兩 手 都 在 門 檻 上 折 斷 、 只 剩 下 大 袞 的 殘 體 。
Bởi cớ ấy, cho đến ngày nay, những thầy cả của Đa-gôn, và phàm người nào vào trong đền nó, đều tránh không đặt chơn trên ngạch cửa.|因 此 大 袞 的 祭 司 、 和 一 切 進 亞 實 突 大 袞 廟 的 人 、 都 不 踏 大 袞 廟 的 門 檻 、 直 到 今 日 。
Nhưng tay Đức Giê-hô-va giáng họa lớn trên dân sự Ach-đốt, dẫn sự tàn hại đến trong xứ chúng nó, lấy bịnh trĩ lậu hành hại Ach-đốt và địa phận nó.|耶 和 華 的 手 重 重 加 在 亞 實 突 人 身 上 、 敗 壞 他 們 、 使 他 們 生 痔 瘡 ． 亞 實 突 、 和 亞 實 突 的 四 境 、 都 是 如 此 。
Dân Ach-đốt thấy mình như vậy, bèn kêu là rằng: Hòm của Đức Chúa Trời Y-sơ-ra-ên chớ ở nơi chúng ta, vì tay Ngài giáng họa lớn trên chúng ta và trên Đa-gôn, là thần của chúng ta.|亞 實 突 人 見 這 光 景 、 就 說 、 以 色 列 　 神 的 約 櫃 不 可 留 在 我 們 這 裡 、 因 為 他 的 手 重 重 加 在 我 們 、 和 我 們 神 大 袞 的 身 上 ．
Chúng sai sứ thỉnh nhóm hết thảy quan trưởng của dân Phi-li-tin, mà hỏi rằng: Chúng ta sẽ làm sao về hòm của Đức Chúa Trời của dân Y-sơ-ra-ên? Các quan trưởng đáp: Phải đem hòm của Đức Chúa Trời của Y-sơ-ra-ên đến Gát. Người ta bèn đem hòm của Đức Chúa Trời của Y-xơ-ra-ên đến đó.|就 打 發 人 去 請 非 利 士 的 眾 首 領 來 聚 集 、 問 他 們 說 、 我 們 向 以 色 列 　 神 的 約 櫃 應 當 怎 樣 行 呢 ． 他 們 回 答 說 、 可 以 將 以 色 列 　 神 的 約 櫃 運 到 迦 特 去 ． 於 是 將 以 色 列 　 神 的 約 櫃 運 到 那 裡 去 。
Người ta vừa đem hòm đi, thì tay Đức Giê-hô-va bèn phạt thành ấy, khiến cho nó bị sự kinh khiếp rất lớn. Ngài hành hại dân thành đó, từ đứa nhỏ cho đến người lớn; chúng đều bị bịnh trĩ lậu phát ra.|運 到 之 後 、 耶 和 華 的 手 攻 擊 那 城 、 使 那 城 的 人 大 大 驚 慌 ． 無 論 大 小 都 生 痔 瘡 。
Bấy giờ, chúng nó sai gởi hòm của Đức Chúa Trời đến Ec-rôn. Khi hòm đến, dân Ec-rôn kêu la rằng: Người ta khiêng hòm của Đức Chúa Trời của Y-sơ-ra-ên đến cùng ta đặng giết chúng ta và dân sự chúng ta!|他 們 就 把 　 神 的 約 櫃 送 到 以 革 倫 ． 　 神 的 約 櫃 到 了 、 以 革 倫 人 就 喊 嚷 起 來 說 、 他 們 將 以 色 列 　 神 的 約 櫃 運 到 我 們 這 裡 、 要 害 我 們 和 我 們 的 眾 民 。
Chúng nó sai thỉnh nhóm hết thảy quan trưởng của dân Phi-li-tin, mà nói rằng: Hãy khiêng hòm của Đức Chúa Trời của Y-sơ-ra-ên đi, để nó trở về nơi cũ, và chớ làm cho chúng ta và dân sự chúng ta phải chết. Vì trong mọi thành đều có sự kinh khiếp hầu chết; tay Đức Giê-hô-va giáng họa tại đó cách dữ tợn.|於 是 打 發 人 去 請 非 利 士 的 眾 首 領 來 、 說 、 願 你 們 將 以 色 列 　 神 的 約 櫃 送 回 原 處 、 免 得 害 了 我 們 和 我 們 的 眾 民 ． 原 來 　 神 的 手 重 重 攻 擊 那 城 、 城 中 的 人 有 因 驚 慌 而 死 的 。
Những kẻ nào không chết thì bị bịnh trĩ lậu; và tiếng kêu la của thành lên đến tận trời.|未 曾 死 的 人 都 生 了 痔 瘡 ． 合 城 呼 號 、 聲 音 上 達 於 天 。

					I Sa-mu-ên 6				|
						撒母耳記上 6					
Hòm của Đức Giê-hô-va ở bảy tháng trong xứ dân Phi-li-tin.|耶 和 華 的 約 櫃 在 非 利 士 人 之 的 七 個 月 。
Đoạn, dân Phi-li-tin gọi những thầy cả và thuật sĩ, mà hỏi rằng: Chúng ta phải làm chi về hòm của Đức Giê-hô-va? Hãy nói cho chúng ta biết cách nào phải trả hòm ấy về nơi cũ.|非 利 士 人 將 祭 司 和 占 卜 的 聚 了 來 、 問 他 們 說 、 我 們 向 耶 和 華 的 約 櫃 應 當 怎 樣 行 、 請 指 示 我 們 用 何 法 將 約 櫃 送 回 原 處 。
Chúng nó đáp; Nếu các người gởi hòm của Đức Chúa Trời của Y-sơ-ra-ên về, thì chớ gởi đi không; nhưng phải trả cho Đức Giê-hô-va của lễ chuộc lỗi, rồi các ngươi sẽ được chữa lành, và biết tại cớ sao Ngài không ngừng giáng họa trên các ngươi.|他 們 說 、 若 要 將 以 色 列 　 神 的 約 櫃 送 回 去 、 不 可 空 空 的 送 去 、 必 要 給 他 獻 賠 罪 的 禮 物 、 然 後 你 們 可 得 痊 癒 、 並 知 道 他 的 手 為 何 不 離 開 你 們 。
Chúng nó hỏi: Của lễ chi chúng ta phải trả cho Ngài đặng chuộc lỗi? Đáp rằng: Năm cái hình trĩ lậu bằng vàng, và năm con chuột bằng vàng, theo số quan trưởng của dân Phi-li-tin, vì hết thảy các ngươi, và các quan trưởng của các ngươi đều bị đồng một tai họa.|非 利 士 人 說 、 應 當 用 甚 麼 獻 為 賠 罪 的 禮 物 呢 ． 他 們 回 答 說 、 當 照 非 利 士 首 領 的 數 目 、 用 五 個 金 痔 瘡 、 五 個 金 老 鼠 、 因 為 在 你 們 眾 人 和 你 們 首 領 的 身 上 、 都 是 一 樣 的 災 。
Hãy làm các hình trĩ lậu, và những hình con chuột vẫn phá xứ sở, rồi tôn vinh Đức Chúa Trời của Y-sơ-ra-ên; có lẽ Ngài sẽ nhẹ tay trên các ngươi, trên thần và xứ của các ngươi.|所 以 當 製 造 你 們 痔 瘡 的 像 、 和 毀 壞 你 們 田 地 老 鼠 的 像 、 並 要 歸 榮 耀 給 以 色 列 的 　 神 、 或 者 他 向 你 們 和 你 們 的 神 、 並 你 們 的 田 地 、 把 手 放 輕 些 。
Sao các ngươi cứng lòng như dân Ê-díp-tô và Pha-ra-ôn đã làm? Sau khi Đức Giê-hô-va đã thi hành quyền năng trên dân Ê-díp-tô, họ há chẳng để cho Y-sơ-ra-ên đi sao?.|你 們 為 何 硬 著 心 像 埃 及 人 和 法 老 一 樣 呢 ． 　 神 在 埃 及 人 中 間 行 奇 事 、 埃 及 人 豈 不 釋 放 以 色 列 人 、 他 們 就 去 了 麼 。
